Acc_Species_Name,Max.Temp,Min.Temp,Mean.Temp,SD.Temp,Max.Ppt,Min.Ppt,Mean.Ppt,SD.Ppt,Source,CC.Aw,CC.BSh,CC.Am,CC.Cwa,CC.Dwc,CC.Cfb,CC.Csa,CC.As,CC.Cwb,CC.BWh,CC.Dwb,CC.Dfb,CC.Dfc,CC.Af,CC.ET,Source
Abelmoschus manihot (L.) Medik.,27.6,24,26.46666667,1.009714717,3923,518,2174.066667,1172.822509,WorldClim version 2.1,1,1,1,,,,,1,,,,,,,,"Rubel, F. and Kottek, M. 2010. Observed and projected climate shifts 1901–2100 depicted by world maps of the Köppen-Geiger climate classification. - Meteorologische Zeitschrift 19: 135-141."
Abutilon auritum (Wall. ex Link) Sweet,26.52,26.52,26.52,NA,1582,1582,1582,NA,WorldClim version 2.1,,,,,,,,,,,,,,,,
Acacia auriculiformis Benth.,28.52,22.76,25.78,1.58,4547,587,1651.65,1147.69,WorldClim version 2.1,1,1,1,1,,,,,,,,,,,,"Rubel, F. and Kottek, M. 2010. Observed and projected climate shifts 1901–2100 depicted by world maps of the Köppen-Geiger climate classification. - Meteorologische Zeitschrift 19: 135-141."
Acacia balfourii Woodrow,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia concurrens Pedley,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia cornigera (L.) Willd.,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia cultriformis G.Don,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia dealbata Link,28.64,14.09,23.03,4.62,3650,587,1551.58,840.64,WorldClim version 2.1,1,,1,1,,,1,,1,,,,,,,"Rubel, F. and Kottek, M. 2010. Observed and projected climate shifts 1901–2100 depicted by world maps of the Köppen-Geiger climate classification. - Meteorologische Zeitschrift 19: 135-141."
Acacia decora Rchb.f.,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia farnesiana (L.) Willd.,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia holosericea G.Don,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia linifolia (Vent.) Willd.,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia longifolia (Andrews) Willd.,16.76,15.88,16.19,0.49,1436,1183,1276.33,138.93,WorldClim version 2.1,1,,,,,,,,,,,,,,,"Rubel, F. and Kottek, M. 2010. Observed and projected climate shifts 1901–2100 depicted by world maps of the Köppen-Geiger climate classification. - Meteorologische Zeitschrift 19: 135-141."
Acacia mearnsii De Wild.,26.31,13.41,19.9,5.09,2620,631,1560.71,715.15,WorldClim version 2.1,1,,,1,,,,,1,,,,,,,"Rubel, F. and Kottek, M. 2010. Observed and projected climate shifts 1901–2100 depicted by world maps of the Köppen-Geiger climate classification. - Meteorologische Zeitschrift 19: 135-141."
Acacia melanoxylon R.Br.,26.33,14.76,20.55,8.19,1616,947,1281.5,473.05,WorldClim version 2.1,1,,,,,,,,,,,,,,,"Rubel, F. and Kottek, M. 2010. Observed and projected climate shifts 1901–2100 depicted by world maps of the Köppen-Geiger climate classification. - Meteorologische Zeitschrift 19: 135-141."
Acacia myrtifolia (Sm.) Willd.,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia neriifolia Benth.,24.03,24.03,24.03,NA,816,816,816,NA,WorldClim version 2.1,1,,,,,,,,,,,,,,,"Rubel, F. and Kottek, M. 2010. Observed and projected climate shifts 1901–2100 depicted by world maps of the Köppen-Geiger climate classification. - Meteorologische Zeitschrift 19: 135-141."
Acacia nilotica (L.) Delile,27.54,26.05,26.86,0.63,1629,556,867,385.68,WorldClim version 2.1,1,1,,,,,,,,,,,,,,"Rubel, F. and Kottek, M. 2010. Observed and projected climate shifts 1901–2100 depicted by world maps of the Köppen-Geiger climate classification. - Meteorologische Zeitschrift 19: 135-141."
Acacia omalophylla Benth.,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia paradoxa DC.,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia pulchella R.Br.,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia pycnantha Benth.,24.73,24.73,24.73,NA,2671,2671,2671,NA,WorldClim version 2.1,,,,1,,,,,,,,,,,,"Rubel, F. and Kottek, M. 2010. Observed and projected climate shifts 1901–2100 depicted by world maps of the Köppen-Geiger climate classification. - Meteorologische Zeitschrift 19: 135-141."
Acacia retinodes Schltdl.,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia richii A.Gray,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia saligna (Labill.) H.L.Wendl.,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia senegal (L.) Willd.,25.4,25.4,25.4,NA,875,875,875,NA,WorldClim version 2.1,,1,,,,,,,,,,,,,,"Rubel, F. and Kottek, M. 2010. Observed and projected climate shifts 1901–2100 depicted by world maps of the Köppen-Geiger climate classification. - Meteorologische Zeitschrift 19: 135-141."
Acacia sphaerocephala Cham. & Schltdl.,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia truncata Hoffmanns.,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia verticillata (L'Her.) Willd.,,,,,,,,,,,,,,,,,,,,,,,,,
Acalypha ciliata Forssk.,29.14,24.24,26.15,1.69,1103,551,798.83,178.73,WorldClim version 2.1,1,1,,,,,,1,,,,,,,,"Rubel, F. and Kottek, M. 2010. Observed and projected climate shifts 1901–2100 depicted by world maps of the Köppen-Geiger climate classification. - Meteorologische Zeitschrift 19: 135-141."
Acanthospermum hispidum DC.,28.52,23.64,24.77,1.69,2961,540,1219.89,737.71,WorldClim version 2.1,1,1,1,1,,,1,,,,,,,,,"Rubel, F. and Kottek, M. 2010. Observed and projected climate shifts 1901–2100 depicted by world maps of the Köppen-Geiger climate classification. - Meteorologische Zeitschrift 19: 135-141."
Acanthus mollis L.,,,,,,,,,,,,,,,,,,,,,,,,,
Acanthus montanus (Nees) T.Anderson,,,,,,,,,,,,,,,,,,,,,,,,,
Acer pseudoplatanus L.,14.66,14.66,14.66,NA,1411,1411,1411,NA,WorldClim version 2.1,,,,,,,,,1,,,,,,,"Rubel, F. and Kottek, M. 2010. Observed and projected climate shifts 1901–2100 depicted by world maps of the Köppen-Geiger climate classification. - Meteorologische Zeitschrift 19: 135-141."
Achetaria azurea (Linden) V.C.Souza,,,,,,,,,,,,,,,,,,,,,,,,,
Achillea millefolium L.,28.86,-0.48,15.36,8.02,2040,110,1024.84,426.32,WorldClim version 2.1,1,1,,1,1,1,,,1,,,1,1,,,"Rubel, F. and Kottek, M. 2010. Observed and projected climate shifts 1901–2100 depicted by world maps of the Köppen-Geiger climate classification. - Meteorologische Zeitschrift 19: 135-141."
Achimenes longiflora DC.,,,,,,,,,,,,,,,,,,,,,,,,,
Achyranthes aspera L.,28.97,13.99,25.02,2.77,4539,342,1426.66,879.99,WorldClim version 2.1,1,1,1,1,,,1,,,,,,,,,"Rubel, F. and Kottek, M. 2010. Observed and projected climate shifts 1901–2100 depicted by world maps of the Köppen-Geiger climate classification. - Meteorologische Zeitschrift 19: 135-141."
Acmella ciliata (Kunth) Cass.,26.66,24.78,25.72,1.33,2289,1571,1930,507.7,WorldClim version 2.1,1,,,1,,,,,,,,,,,,"Rubel, F. and Kottek, M. 2010. Observed and projected climate shifts 1901–2100 depicted by world maps of the Köppen-Geiger climate classification. - Meteorologische Zeitschrift 19: 135-141."
Acmella radicans (Jacq.) R.K.Jansen,26.48,25.72,26.1,0.54,1256,764,1010,347.9,WorldClim version 2.1,1,,,,,,,,,,,,,,,"Rubel, F. and Kottek, M. 2010. Observed and projected climate shifts 1901–2100 depicted by world maps of the Köppen-Geiger climate classification. - Meteorologische Zeitschrift 19: 135-141."
Acmella uliginosa (Sw.) Cass.,21.73,19.05,20.39,1.9,2122,2056,2089,46.67,WorldClim version 2.1,1,,,,,,,,1,,,,,,,"Rubel, F. and Kottek, M. 2010. Observed and projected climate shifts 1901–2100 depicted by world maps of the Köppen-Geiger climate classification. - Meteorologische Zeitschrift 19: 135-141."
Adenophyllum cooperi (A.Gray) Strother,,,,,,,,,,,,,,,,,,,,,,,,,
Adenostemma lavenia (L.) Kuntze,21.88,21.44,21.66,0.31,2107,1485,1796,439.82,WorldClim version 2.1,,,,1,,,,1,,,,,,,,"Rubel, F. and Kottek, M. 2010. Observed and projected climate shifts 1901–2100 depicted by world maps of the Köppen-Geiger climate classification. - Meteorologische Zeitschrift 19: 135-141."
Adonidia merrillii (Becc.) Becc.,27.14,27.14,27.14,NA,2107,2107,2107,NA,WorldClim version 2.1,1,,,,,,,,,,,,,,,"Rubel, F. and Kottek, M. 2010. Observed and projected climate shifts 1901–2100 depicted by world maps of the Köppen-Geiger climate classification. - Meteorologische Zeitschrift 19: 135-141."
Aechmea nudicaulis (L.) Griseb.,26.6,26.6,26.6,NA,794,794,794,NA,WorldClim version 2.1,1,,,,,,,,,,,,,,,"Rubel, F. and Kottek, M. 2010. Observed and projected climate shifts 1901–2100 depicted by world maps of the Köppen-Geiger climate classification. - Meteorologische Zeitschrift 19: 135-141."
Aeluropus lagopoides (L.) Thwaites,28.52,25.55,27.22,1.24,1263,525,935.75,352.22,WorldClim version 2.1,1,1,,,,,,,,,,,,,,"Rubel, F. and Kottek, M. 2010. Observed and projected climate shifts 1901–2100 depicted by world maps of the Köppen-Geiger climate classification. - Meteorologische Zeitschrift 19: 135-141."
Aeonium arboreum Webb & Berthel.,,,,,,,,,,,,,,,,,,,,,,,,,
Aerva javanica (Burm.f.) Juss. ex Schult.,28.85,21.44,26.29,2.3,1485,420,796.42,287.94,WorldClim version 2.1,1,1,,1,,,,,,,,,,,,"Rubel, F. and Kottek, M. 2010. Observed and projected climate shifts 1901–2100 depicted by world maps of the Köppen-Geiger climate classification. - Meteorologische Zeitschrift 19: 135-141."
Aeschynomene americana L.,27.55,22.18,26.19,1.88,2991,863,2020.56,969,WorldClim version 2.1,1,,,,,,,,,,,,,,,"Rubel, F. and Kottek, M. 2010. Observed and projected climate shifts 1901–2100 depicted by world maps of the Köppen-Geiger climate classification. - Meteorologische Zeitschrift 19: 135-141."
Aeschynomene brasiliana (Poir.) DC.,,,,,,,,,,,,,,,,,,,,,,,,,
Aeschynomene indica L.,29.14,14.07,25.37,3.58,3991,742,1543.63,912.42,WorldClim version 2.1,1,1,1,1,,1,,,,,,,,,,"Rubel, F. and Kottek, M. 2010. Observed and projected climate shifts 1901–2100 depicted by world maps of the Köppen-Geiger climate classification. - Meteorologische Zeitschrift 19: 135-141."
Agapanthus africanus (L.) Hoffmanns.,14.98,14.98,14.98,NA,1517,1517,1517,NA,WorldClim version 2.1,1,,,,,,,,,,,,,,,"Rubel, F. and Kottek, M. 2010. Observed and projected climate shifts 1901–2100 depicted by world maps of the Köppen-Geiger climate classification. - Meteorologische Zeitschrift 19: 135-141."
Agapanthus praecox Willd.,,,,,,,,,,,,,,,,,,,,,,,,,
Agave americana L.,29.17,14.66,24.95,2.71,3750,269,1062.53,489.64,WorldClim version 2.1,1,1,1,1,,,1,1,1,,,,,,,"Rubel, F. and Kottek, M. 2010. Observed and projected climate shifts 1901–2100 depicted by world maps of the Köppen-Geiger climate classification. - Meteorologische Zeitschrift 19: 135-141."
Agave cantala (Haw.) Roxb. ex Salm-Dyck,,,,,,,,,,,,,,,,,,,,,,,,,
Agave salmiana Otto ex Salm-Dyck,,,,,,,,,,,,,,,,,,,,,,,,,
Agave vera-cruz Mill.,,,,,,,,,,,,,,,,,,,,,,,,,
Agave vivipara L.,26.31,26.31,26.31,NA,815,815,815,NA,WorldClim version 2.1,1,,,,,,,,,,,,,,,"Rubel, F. and Kottek, M. 2010. Observed and projected climate shifts 1901–2100 depicted by world maps of the Köppen-Geiger climate classification. - Meteorologische Zeitschrift 19: 135-141."
Ageratina adenophora (Spreng.) R.M.King & H.Rob.,26.5,13.81,18.76,3.64,2620,1183,1801.55,425.19,WorldClim version 2.1,1,,,1,,,,,1,,,,,,,"Rubel, F. and Kottek, M. 2010. Observed and projected climate shifts 1901–2100 depicted by world maps of the Köppen-Geiger climate classification. - Meteorologische Zeitschrift 19: 135-141."
Ageratina ligustrina (DC.) R.M.King & H.Rob.,,,,,,,,,,,,,,,,,,,,,,,,,
Ageratina riparia (Regel) R.M.King & H.Rob.,17.27,16.37,16.73,0.49,3604,3013,3249.4,323.7,WorldClim version 2.1,,,,1,,,,,,,,,,,,"Rubel, F. and Kottek, M. 2010. Observed and projected climate shifts 1901–2100 depicted by world maps of the Köppen-Geiger climate classification. - Meteorologische Zeitschrift 19: 135-141."
Ageratum conyzoides (L.) L.,28.89,16.99,24.51,2.58,4435,587,2027,967.06,WorldClim version 2.1,1,1,1,1,,,1,1,1,,,,,,,"Rubel, F. and Kottek, M. 2010. Observed and projected climate shifts 1901–2100 depicted by world maps of the Köppen-Geiger climate classification. - Meteorologische Zeitschrift 19: 135-141."
Ageratum houstonianum Mill.,27.45,13.81,23.9,3.15,3868,428,1256.49,631.46,WorldClim version 2.1,1,1,1,1,,,1,,,,,,,,,"Rubel, F. and Kottek, M. 2010. Observed and projected climate shifts 1901–2100 depicted by world maps of the Köppen-Geiger climate classification. - Meteorologische Zeitschrift 19: 135-141."
Agonis flexuosa (Muhl. ex Willd.) Sweet,,,,,,,,,,,,,,,,,,,,,,,,,
Agrostemma githago L.,,,,,,,,,,,,,,,,,,,,,,,,,
Agrostis idahoensis Nash,,,,,,,,,,,,,,,,,,,,,,,,,
Aidia cochinchinensis Lour.,,,,,,,,,,,,,,,,,,,,,,,,,
Ailanthus altissima (Mill.) Swingle,25.59,13.87,19.73,8.29,1189,730,959.5,324.56,WorldClim version 2.1,,,,,,,1,,,,,,,,,"Rubel, F. and Kottek, M. 2010. Observed and projected climate shifts 1901–2100 depicted by world maps of the Köppen-Geiger climate classification. - Meteorologische Zeitschrift 19: 135-141."
Aiphanes horrida (Jacq.) Burret,,,,,,,,,,,,,,,,,,,,,,,,,
Albizia lebbeck (L.) Benth.,28.9,18.79,25.82,1.86,4112,482,1294.67,838.3,WorldClim version 2.1,1,1,1,1,,,1,1,1,,,,,,,"Rubel, F. and Kottek, M. 2010. Observed and projected climate shifts 1901–2100 depicted by world maps of the Köppen-Geiger climate classification. - Meteorologische Zeitschrift 19: 135-141."
Albizia niopoides (Benth.) Burkart,,,,,,,,,,,,,,,,,,,,,,,,,
Alcea rosea L.,14.07,14.07,14.07,NA,763,763,763,NA,WorldClim version 2.1,,,,,,,,,,,,,,,,
Aleurites rockinghamensis (Baill.) P.I.Forst.,,,,,,,,,,,,,,,,,,,,,,,,,
Alisma gramineum Lej.,,,,,,,,,,,,,,,,,,,,,,,,,
Alisma lanceolatum With.,13.99,8.15,12.49,2.89,1130,727,831,199.38,WorldClim version 2.1,,,,,,,,,,,,,,,,
Allamanda cathartica L.,,,,,,,,,,1,1,1,1,,,1,1,,1,,,,,,"Rubel, F. and Kottek, M. 2010. Observed and projected climate shifts 1901–2100 depicted by world maps of the Köppen-Geiger climate classification. - Meteorologische Zeitschrift 19: 135-141."
Alliaria petiolata (M.Bieb.) Cavara & Grande,15.53,1.35,10.95,4.02,1985,725,1232.75,352.91,WorldClim version 2.1,,,,,,1,,,,,1,,,,,"Rubel, F. and Kottek, M. 2010. Observed and projected climate shifts 1901–2100 depicted by world maps of the Köppen-Geiger climate classification. - Meteorologische Zeitschrift 19: 135-141."
Allium ampeloprasum L.,14.6,-4.6,-0.76,8.09543081,2652,70,586.4,1088.666789,WorldClim version 2.1,,,,,,,,,1,,,,1,,,"Rubel, F. and Kottek, M. 2010. Observed and projected climate shifts 1901–2100 depicted by world maps of the Köppen-Geiger climate classification. - Meteorologische Zeitschrift 19: 135-141."
Allocasuarina acuaria (F.Muell.) L.A.S.Johnson,,,,,,,,,,,,,,,,,,,,,,,,,
Allocasuarina littoralis (Salisb.) L.A.S.Johnson,,,,,,,,,,,,,,,,,,,,,,,,,
Allocasuarina torulosa (Aiton) L.A.S.Johnson,,,,,,,,,,,,,,,,,,,,,,,,,
Allocasuarina verticillata (Lam.) L.A.S.Johnson,,,,,,,,,,,,,,,,,,,,,,,,,
Alnus glutinosa (L.) Gaertn.,-4.64,-4.64,-4.64,NA,160,160,160,NA,WorldClim version 2.1,,,,,,,,,,,,,,,1,"Rubel, F. and Kottek, M. 2010. Observed and projected climate shifts 1901–2100 depicted by world maps of the Köppen-Geiger climate classification. - Meteorologische Zeitschrift 19: 135-141."
Aloe vera (L.) Burm.f.,29.4,14.09,25.83,1.55,4502,195,1101.85,619.25,WorldClim version 2.1,1,1,1,1,,,1,1,1,1,,,,,,"Rubel, F. and Kottek, M. 2010. Observed and projected climate shifts 1901–2100 depicted by world maps of the Köppen-Geiger climate classification. - Meteorologische Zeitschrift 19: 135-141."
Alopecurus aequalis Sobol.,14.07,2,8.04,8.54,763,486,624.5,195.87,WorldClim version 2.1,,,,,,1,,,,,,,,,,"Rubel, F. and Kottek, M. 2010. Observed and projected climate shifts 1901–2100 depicted by world maps of the Köppen-Geiger climate classification. - Meteorologische Zeitschrift 19: 135-141."
Alopecurus arundinaceus Poir.,8.84,-9.27,-0.42,5.18,1233,177,508.85,341.18,WorldClim version 2.1,,,,,,,,,,,,1,1,,1,"Rubel, F. and Kottek, M. 2010. Observed and projected climate shifts 1901–2100 depicted by world maps of the Köppen-Geiger climate classification. - Meteorologische Zeitschrift 19: 135-141."
Aloysia citriodora Palau,,,,,,,,,,,,,,,,,,,,,,,,,
Alphitonia excelsa (Fenzl) Reissek ex Benth.,,,,,,,,,,,,,,,,,,,,,,,,,
Alpinia oceanica Burkill,,,,,,,,,,,,,,,,,,,,,,,,,
