Acc_Species_Name,Family,Genus,Species,Authority
Abelmoschus esculentus (L.) Moench,Malvaceae,Abelmoschus,esculentus,(L.) Moench
Abutilon megapotamicum (A.Spreng.) A.St.-Hil. & Naudin,Malvaceae,Abutilon,megapotamicum,(A.Spreng.) A.St.-Hil. & Naudin
Acacia willdenowiana Wendl.,Fabaceae,Acacia,willdenowiana,Wendl.
Acacia baileyana F.Muell.,Fabaceae,Acacia,baileyana,F.Muell.
Acacia confusa Merr.,Fabaceae,Acacia,confusa,Merr.
Acacia decurrens Willd.,Fabaceae,Acacia,decurrens,Willd.
Acacia elata Benth.,Fabaceae,Acacia,elata,Benth.
Acacia karroo Hayne,Fabaceae,Acacia,karroo,Hayne
Acacia maidenii F.Muell.,Fabaceae,Acacia,maidenii,F.Muell.
Acacia mangium Willd.,Fabaceae,Acacia,mangium,Willd.
Acacia podalyriifolia G.Don,Fabaceae,Acacia,podalyriifolia,G.Don
Acacia robusta Burch.,Fabaceae,Acacia,robusta,Burch.
Acacia tortilis (Forssk.) Hayne,Fabaceae,Acacia,tortilis,(Forssk.) Hayne
Acalypha amentacea Roxb.,Euphorbiaceae,Acalypha,amentacea,Roxb.
Acalypha australis L.,Euphorbiaceae,Acalypha,australis,L.
Acalypha chamaedrifolia (Lam.) Müll.Arg.,Euphorbiaceae,Acalypha,chamaedrifolia,(Lam.) Müll.Arg.
Acalypha hispida Burm.f.,Euphorbiaceae,Acalypha,hispida,Burm.f.
Acalypha wilkesiana Müll.Arg.,Euphorbiaceae,Acalypha,wilkesiana,Müll.Arg.
Acca sellowiana (O.Berg) Burret,Myrtaceae,Acca,sellowiana,(O.Berg) Burret
Achimenes grandiflora (Schiede) DC.,Gesneriaceae,Achimenes,grandiflora,(Schiede) DC.
Acokanthera oblongifolia (Hochst.) Benth. & Hook.f. ex B.D.Jacks.,Apocynaceae,Acokanthera,oblongifolia,(Hochst.) Benth. & Hook.f. ex B.D.Jacks.
Adansonia digitata L.,Malvaceae,Adansonia,digitata,L.
Adenanthera microsperma Teijsm. & Binn.,Fabaceae,Adenanthera,microsperma,Teijsm. & Binn.
Adenium obesum (Forssk.) Roem. & Schult.,Apocynaceae,Adenium,obesum,(Forssk.) Roem. & Schult.
Afzelia martabanica (Prain) J.Leonard,Fabaceae,Afzelia,martabanica,(Prain) J.Leonard
Agathis macrophylla (Lindl.) Mast.,Araucariaceae,Agathis,macrophylla,(Lindl.) Mast.
Agathis robusta (C.Moore ex F.Muell.) F.M.Bailey,Araucariaceae,Agathis,robusta,(C.Moore ex F.Muell.) F.M.Bailey
Agave decipiens Baker,Asparagaceae,Agave,decipiens,Baker
Agave sisalana Perrine,Asparagaceae,Agave,sisalana,Perrine
Agave victoriae-reginae T.Moore,Asparagaceae,Agave,victoriae-reginae,T.Moore
Aglaia odorata Lour.,Meliaceae,Aglaia,odorata,Lour.
Albizia saman (Jacq.) Merr.,Fabaceae,Albizia,saman,(Jacq.) Merr.
Vernicia fordii (Hemsl.) Airy Shaw,Euphorbiaceae,Vernicia,fordii,(Hemsl.) Airy Shaw
Aleurites moluccanus (L.) Willd.,Euphorbiaceae,Aleurites,moluccanus,(L.) Willd.
Allamanda blanchetii A.DC.,Apocynaceae,Allamanda,blanchetii,A.DC.
Allamanda schottii Pohl,Apocynaceae,Allamanda,schottii,Pohl
Allium cepa L.,Amaryllidaceae,Allium,cepa,L.
Allium sativum L.,Amaryllidaceae,Allium,sativum,L.
Alocasia macrorrhizos (L.) G.Don,Araceae,Alocasia,macrorrhizos,(L.) G.Don
Alocasia sanderiana W.Bull,Araceae,Alocasia,sanderiana,W.Bull
Aloe variegata L.,Asphodelaceae,Aloe,variegata,L.
Alpinia nutans (L.) Roscoe,Zingiberaceae,Alpinia,nutans,(L.) Roscoe
Alstonia macrophylla Wall. ex G.Don,Apocynaceae,Alstonia,macrophylla,Wall. ex G.Don
Amherstia nobilis Wall.,Fabaceae,Amherstia,nobilis,Wall.
Ammi majus L.,Apiaceae,Ammi,majus,L.
Ananas comosus (L.) Merr.,Bromeliaceae,Ananas,comosus,(L.) Merr.
Anchusa capensis Thunb.,Boraginaceae,Anchusa,capensis,Thunb.
Andira inermis (Wright) DC.,Fabaceae,Andira,inermis,(Wright) DC.
Angelonia salicariifolia Bonpl.,Plantaginaceae,Angelonia,salicariifolia,Bonpl.
Annona cherimola Mill.,Annonaceae,Annona,cherimola,Mill.
Annona muricata L.,Annonaceae,Annona,muricata,L.
Annona purpurea Moc. & Sessé ex Dunal,Annonaceae,Annona,purpurea,Moc. & Sessé ex Dunal
Annona reticulata L.,Annonaceae,Annona,reticulata,L.
Annona squamosa L.,Annonaceae,Annona,squamosa,L.
Aphelandra pulcherrima (Jacq.) Kunth,Acanthaceae,Aphelandra,pulcherrima,(Jacq.) Kunth
Arachis hypogaea L.,Fabaceae,Arachis,hypogaea,L.
Araucaria angustifolia (Bertol.) Kuntze,Araucariaceae,Araucaria,angustifolia,(Bertol.) Kuntze
Araucaria bidwillii Hook.,Araucariaceae,Araucaria,bidwillii,Hook.
Araucaria columnaris (G.Forst.) Hook.,Araucariaceae,Araucaria,columnaris,(G.Forst.) Hook.
Araucaria cunninghamii Mudie,Araucariaceae,Araucaria,cunninghamii,Mudie
Arctotis stoechadifolia P.J.Bergius,Asteraceae,Arctotis,stoechadifolia,P.J.Bergius
Arenga pinnata (Wurmb) Merr.,Arecaceae,Arenga,pinnata,(Wurmb) Merr.
Arfeuillea arborescens Pierre ex Radlk.,Sapindaceae,Arfeuillea,arborescens,Pierre ex Radlk.
Argyranthemum frutescens (L.) Sch.Bip.,Asteraceae,Argyranthemum,frutescens,(L.) Sch.Bip.
Aristolochia fimbriata Cham.,Aristolochiaceae,Aristolochia,fimbriata,Cham.
Aristolochia littoralis Parodi,Aristolochiaceae,Aristolochia,littoralis,Parodi
Aristolochia grandiflora Sw.,Aristolochiaceae,Aristolochia,grandiflora,Sw.
Aristolochia labiata Willd.,Aristolochiaceae,Aristolochia,labiata,Willd.
Aristolochia cymbifera Mart.,Aristolochiaceae,Aristolochia,cymbifera,Mart.
Aristolochia macroura Ortega,Aristolochiaceae,Aristolochia,macroura,Ortega
Aristolochia ridicula N.E.Br.,Aristolochiaceae,Aristolochia,ridicula,N.E.Br.
Aristolochia ringens Vahl,Aristolochiaceae,Aristolochia,ringens,Vahl
Aristolochia tomentosa Sims,Aristolochiaceae,Aristolochia,tomentosa,Sims
Artabotrys hexapetalus (L.f.) Bhandari,Annonaceae,Artabotrys,hexapetalus,(L.f.) Bhandari
Artocarpus altilis (Parkinson ex F.A.Zorn) Fosberg,Moraceae,Artocarpus,altilis,(Parkinson ex F.A.Zorn) Fosberg
Asparagus setaceus (Kunth) Jessop,Asparagaceae,Asparagus,setaceus,(Kunth) Jessop
Ateleia herbert-smithii Pittier,Fabaceae,Ateleia,herbert-smithii,Pittier
Averrhoa bilimbi L.,Oxalidaceae,Averrhoa,bilimbi,L.
Averrhoa carambola L.,Oxalidaceae,Averrhoa,carambola,L.
Sannantha virgata (J.R.Forst. & G.Forst.) Peter G.Wilson,Myrtaceae,Sannantha,virgata,(J.R.Forst. & G.Forst.) Peter G.Wilson
Bambusa multiplex (Lour.) Raeusch. ex Schult.,Poaceae,Bambusa,multiplex,(Lour.) Raeusch. ex Schult.
Bambusa longispiculata Gamble,Poaceae,Bambusa,longispiculata,Gamble
Bambusa tuldoides Munro,Poaceae,Bambusa,tuldoides,Munro
Banisteriopsis laevifolia (A.Juss.) B.Gates,Malpighiaceae,Banisteriopsis,laevifolia,(A.Juss.) B.Gates
Baphia massaiensis Taub.,Fabaceae,Baphia,massaiensis,Taub.
Baphia nitida Lodd.,Fabaceae,Baphia,nitida,Lodd.
Barleria lupulina Lindl.,Acanthaceae,Barleria,lupulina,Lindl.
Barringtonia asiatica (L.) Kurz,Lecythidaceae,Barringtonia,asiatica,(L.) Kurz
Bauhinia blakeana Dunn,Fabaceae,Bauhinia,blakeana,Dunn
Bauhinia carronii F.Muell.,Fabaceae,Bauhinia,carronii,F.Muell.
Bauhinia corymbosa Roxb. ex DC.,Fabaceae,Bauhinia,corymbosa,Roxb. ex DC.
Bauhinia galpinii N.E.Br.,Fabaceae,Bauhinia,galpinii,N.E.Br.
Bauhinia hookeri F.Muell.,Fabaceae,Bauhinia,hookeri,F.Muell.
Bauhinia monandra Kurz,Fabaceae,Bauhinia,monandra,Kurz
Bauhinia picta (Kunth) DC.,Fabaceae,Bauhinia,picta,(Kunth) DC.
Bauhinia tomentosa L.,Fabaceae,Bauhinia,tomentosa,L.
Bauhinia variegata L.,Fabaceae,Bauhinia,variegata,L.
Beaucarnea stricta Lem.,Asparagaceae,Beaucarnea,stricta,Lem.
Justicia brandegeeana Wassh. & L.B.Sm.,Acanthaceae,Justicia,brandegeeana,Wassh. & L.B.Sm.
Benincasa hispida (Thunb.) Cogn.,Cucurbitaceae,Benincasa,hispida,(Thunb.) Cogn.
Berrya javanica (Turcz.) Burret,Malvaceae,Berrya,javanica,(Turcz.) Burret
Beta vulgaris L.,Amaranthaceae,Beta,vulgaris,L.
Bignonia capreolata L.,Bignoniaceae,Bignonia,capreolata,L.
Begonia manicata Brongn.,Begoniaceae,Begonia,manicata,Brongn.
Bixa orellana L.,Bixaceae,Bixa,orellana,L.
Blighia sapida K.D.Koenig,Sapindaceae,Blighia,sapida,K.D.Koenig
Boehmeria nivea (L.) Gaudich.,Urticaceae,Boehmeria,nivea,(L.) Gaudich.
Bolusanthus speciosus (Bolus) Harms,Fabaceae,Bolusanthus,speciosus,(Bolus) Harms
Brachychiton acerifolius (A.Cunn. ex G.Don) F.Muell.,Malvaceae,Brachychiton,acerifolius,(A.Cunn. ex G.Don) F.Muell.
Brachychiton populneus (Schott & Endl.) R.Br.,Malvaceae,Brachychiton,populneus,(Schott & Endl.) R.Br.
Brachyscome iberidifolia Benth.,Asteraceae,Brachyscome,iberidifolia,Benth.
Brassica napus L.,Brassicaceae,Brassica,napus,L.
Brassica nigra (L.) K.Koch,Brassicaceae,Brassica,nigra,(L.) K.Koch
Brassica oleracea L.,Brassicaceae,Brassica,oleracea,L.
Browallia americana L.,Solanaceae,Browallia,americana,L.
Brownea ariza Benth.,Fabaceae,Brownea,ariza,Benth.
Brownea coccinea Jacq.,Fabaceae,Brownea,coccinea,Jacq.
Brownea grandiceps Jacq.,Fabaceae,Brownea,grandiceps,Jacq.
Brugmansia arborea (L.) Sweet,Solanaceae,Brugmansia,arborea,(L.) Sweet
Brugmansia sanguinea (Ruiz & Pav.) D.Don,Solanaceae,Brugmansia,sanguinea,(Ruiz & Pav.) D.Don
Brunfelsia densifolia Krug & Urb.,Solanaceae,Brunfelsia,densifolia,Krug & Urb.
Brunfelsia latifolia (Pohl) Benth.,Solanaceae,Brunfelsia,latifolia,(Pohl) Benth.
Brunfelsia pauciflora (Cham. & Schltdl.) Benth.,Solanaceae,Brunfelsia,pauciflora,(Cham. & Schltdl.) Benth.
Brunfelsia uniflora (Pohl) D.Don,Solanaceae,Brunfelsia,uniflora,(Pohl) D.Don
Buddleja asiatica Lour.,Scrophulariaceae,Buddleja,asiatica,Lour.
Buddleja madagascariensis Lam.,Scrophulariaceae,Buddleja,madagascariensis,Lam.
Bursera penicillata (Sessé & Moc. ex DC.) Engl.,Burseraceae,Bursera,penicillata,(Sessé & Moc. ex DC.) Engl.
Caesalpinia coriaria (Jacq.) Willd.,Fabaceae,Caesalpinia,coriaria,(Jacq.) Willd.
Caesalpinia ferrea Mart.,Fabaceae,Caesalpinia,ferrea,Mart.
Caesalpinia pulcherrima (L.) Sw.,Fabaceae,Caesalpinia,pulcherrima,(L.) Sw.
Caesalpinia punctata Willd.,Fabaceae,Caesalpinia,punctata,Willd.
Caesalpinia sappan L.,Fabaceae,Caesalpinia,sappan,L.
