Accepted scientific name of species ,Common.Name,Vernacular.Name,Growth.Habit,Duration,Group,Source
Abelmoschus manihot (L.) Medik.,Edible Hibiscus,Jungli Bhendi (hin); Kaadu Bendekaai (kan); Ram-bhendi (mar),Herb,Perennial,Dicot,MBG
Abutilon auritum (Wall. ex Link) Sweet,Asian Indian Mallow,,Shrub,Perennial,Dicot,NRCS
Acacia auriculiformis Benth.,Northern Black Wattle,"Kalsiamthing (lus), Thumma (tel)",Shrub;Tree,Perennial,Dicot,TRY;NRCS
Acacia balfourii Woodrow,,,Shrub,Perennial,Dicot,http://www.legumes-online.net/ildis/aweb/td002/td_00410.htm;accessed on: 31 May 2020
Acacia concurrens Pedley,Black Wattle,,Tree,Perennial,Dicot,ALA
Acacia cornigera (L.) Willd.,Bullhorn Wattle,,Shrub;Tree,Perennial,Dicot,NRCS
Acacia cultriformis G.Don,Knife-Leaf Wattle,,Shrub;Tree,Perennial,Dicot,NRCS;PLANTNET
Acacia dealbata Link,Silver Wattle,Wattle (mal),Shrub;Tree,Perennial,Dicot,TRY;NRCS
Acacia decora Rchb.f.,Showy Wattle,,Shrub;Tree,Perennial,Dicot,NRCS;PLANTNET
Acacia farnesiana (L.) Willd.,Mimosa Bush,"torua kadam (asm); bilati babala, guya babala (ben); talbaval, jheribaval (guj); durgandh khair, gandh babul, gandhi babul, guh babul, gul babul, passi babul, vilayati babul (hin); karikasturi, kasturi gobli, kasturi jali mara, kirijali, peekjali, sanna jali (kan); kusri jhaad (knn); kasturivelam, pevelam (mal); Chigong lei (mni); devbabhal, kinkara (mar); gannaune khayar, jait (npi); asimeda, bilati babura, bita khadira, gandhaguharia, guia babala, kuababuri, sarakhadira (ori); ambar rukh, kabali kikkar, pahari kikkar, wilaiti kikkar (pan); ahimara, arimeda, girimeda, godhaskandha, kushthari, marudruma, putimeda, vitkhadira (san); vilayati baburu (Sindhi); kasturi, pi-k-karuvel, pi-vel (tam); arinmaedamu, kampu tumma, kasthoori tumma, muriki tumma, naaga tumma, peeke tumma, piyya tumma (tel)",Shrub;Tree,Perennial,Dicot,TRY;NRCS
Acacia holosericea G.Don,Soapbush Wattle,,Shrub;Tree,Perennial,Dicot,NRCS;FOI
Acacia linifolia (Vent.) Willd.,White Wattle,,Shrub;Tree,Perennial,Dicot,PLANTNET
Acacia longifolia (Andrews) Willd.,Sydney Golden Wattle,,Shrub;Tree,Perennial,Dicot,TRY;NRCS
