Acc_Species_Name,TerrM_Forest_Plantation,TerrM_Disturbed_Areas,TerrM_Road_Rail,TerrM_Cultivated,TerrM_Grassland,TerrM_Urban,TerrM_Buildings,TerrM_Industrial_Intensive_Livestock_System,TerrN_Forest,TerrN_Riverbanks,TerrN_Wetlands,TerrN_Scrub/shrublands,TerrN_Grasslands,TerrN_Deserts,TerrN_Rocky_Areas,TerrN_Arid_Region,TerrN_Land_Caves,TerrN_Cold_Lands,TerrN_High_Altitudes,Litt_Coastal_Areas,Litt_Coastal_Dunes,Litt_Mangroves,Litt_Mud_Flats,Litt_Intertidal_Zone,Litt_Salt_Marshes,FW_Irrigation_channels,FW_Swamps_marshes,FW_Ditches,FW_Pools,FW_Lakes,FW_Rivers/Streams,FW_Ponds,FW_Reservoir,Brk_Springs,Brk_Estuaries,Brk_Lagoons,Brk_Inland_Saline_Areas,Brk_Inshore_Marine,Source
Abelmoschus manihot (L.) Medik.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abutilon auritum (Wall. ex Link) Sweet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia auriculiformis Benth.,1,1,1,,,1,,,1,1,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,CABI-ISC
Acacia balfourii Woodrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia concurrens Pedley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia cornigera (L.) Willd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia cultriformis G.Don,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia dealbata Link,,,1,,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,CABI-ISC
Acacia decora Rchb.f.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia farnesiana (L.) Willd.,,,1,1,1,1,,,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,CABI-ISC
Acacia holosericea G.Don,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia linifolia (Vent.) Willd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia longifolia (Andrews) Willd.,,,1,,,1,,,1,1,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,CABI-ISC
Acacia mearnsii De Wild.,1,1,1,,1,,,,1,1,,1,1,,,,,,,1,,,,,,,,,,,,,,,,,,,CABI-ISC
Acacia melanoxylon R.Br.,1,1,1,1,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,CABI-ISC
Acacia myrtifolia (Sm.) Willd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia neriifolia Benth.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia nilotica (L.) Delile,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,CABI-ISC
Acacia omalophylla Benth.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia paradoxa DC.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia pulchella R.Br.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia pycnantha Benth.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia retinodes Schltdl.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia richii A.Gray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia saligna (Labill.) H.L.Wendl.,1,1,1,1,,1,,,1,1,1,1,1,1,,1,,,,1,1,,,,,,,,,,,,,,,,,,CABI-ISC
Acacia senegal (L.) Willd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia sphaerocephala Cham. & Schltdl.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia truncata Hoffmanns.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia verticillata (L'Her.) Willd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acalypha ciliata Forssk.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acanthospermum hispidum DC.,1,1,1,1,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,CABI-ISC
Acanthus mollis L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acanthus montanus (Nees) T.Anderson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
