Acc_Species_Name,Introduction_pathways_reported,Introduction_pathways_category,Introduction_pathways_subcategory,Source.IntroductionPathway,First_record_date,Source.FirstRecord
Abelmoschus manihot (L.) Medik.,,,,,1985,GBIF
Abutilon auritum (Wall. ex Link) Sweet,,,,,,
Acacia auriculiformis Benth.,Wood;Ornamental,2,Forestry;Ornamental purpose other than horticulture,CABI-ISC,1913,GBIF
Acacia balfourii Woodrow,,,,,,
Acacia concurrens Pedley,,,,,,
Acacia cornigera (L.) Willd.,,,,,,
Acacia cultriformis G.Don,,,,,,
Acacia dealbata Link,Wood;Ornamental,2,Forestry;Ornamental purpose other than horticulture,CABI-ISC,1857,GBIF
Acacia decora Rchb.f.,,,,,,
Acacia farnesiana (L.) Willd.,Agroforestry; Ornamental,2,Ornamental purpose other than horticulture;Agroforestry,CABI-ISC,1832,GAFRD
Acacia holosericea G.Don,,,,,,
Acacia linifolia (Vent.) Willd.,,,,,,
Acacia longifolia (Andrews) Willd.,Ornamental,2,Ornamental purpose other than horticulture,CABI-ISC,1854,GBIF
Acacia mearnsii De Wild.,Wood,2,Forestry,"Book (Hiremath, A. J. and Sundaram, B. 2013. Invasive plant species in Indian protected areas: conserving biodiversity in cultural landscapes. - In: Foxcroft, L. C., et al. (eds.), Plant invasions in protected areas. Springer Netherlands, pp. 241-266., Hiremath and Sundaram 2013)",1960,GBIF
Acacia melanoxylon R.Br.,Wood,2,Forestry,CABI-ISC,1957,GBIF
Acacia myrtifolia (Sm.) Willd.,,,,,1857,GBIF
Acacia neriifolia Benth.,,,,,2014,GBIF
Acacia nilotica (L.) Delile,Cultivation,2,Agriculture,CABI-ISC,1821,GBIF
Acacia omalophylla Benth.,,,,,,
Acacia paradoxa DC.,,,,,,
Acacia pulchella R.Br.,,,,,1857,GBIF
Acacia pycnantha Benth.,,,,,2018,GBIF
Acacia retinodes Schltdl.,,,,,,
Acacia richii A.Gray,,,,,,
Acacia saligna (Labill.) H.L.Wendl.,"Soil Conservation; Fuelwood; Fodder, Tannins And Gums;Ornamental","1,2",Ornamental purpose other than horticulture;Agriculture;Introduction for conservation purposes;Forestry,CABI-ISC,,
Acacia senegal (L.) Willd.,,,,,1958,GBIF
Acacia sphaerocephala Cham. & Schltdl.,,,,,,
Acacia truncata Hoffmanns.,,,,,,
Acacia verticillata (L'Her.) Willd.,,,,,,
Acalypha ciliata Forssk.,,,,,1911,GBIF
Acanthospermum hispidum DC.,Accidental,"3,4",Contaminant or stowaway (mentioned as accidental),"Lit (Sekar, K. C. 2012. Invasive alien plants of Indian Himalayan region—diversity and implication. - American Journal of Plant Sciences 2012: 177-184.)",1917,GAFRD
Acanthus mollis L.,,,,,,
Acanthus montanus (Nees) T.Anderson,,,,,,
Acer pseudoplatanus L.,Ornamental,2,Ornamental purpose other than horticulture,CABI-ISC,1988,GBIF
Achetaria azurea (Linden) V.C.Souza,,,,,,
Achillea millefolium L.,Cultivation; Medicinal;Ornamental,"1,2",Ornamental purpose other than horticulture;Agriculture;Release in nature for use,CABI-ISC,1856,GBIF
Achimenes longiflora DC.,,,,,,
Achyranthes aspera L.,Seed Contaminant,3,Seed contaminant,CABI-ISC,1826,GBIF
Acmella ciliata (Kunth) Cass.,,,,,2018,GBIF
Acmella radicans (Jacq.) R.K.Jansen,Accidental,,,,1969,GBIF
Acmella uliginosa (Sw.) Cass.,Medicinal,1,Release in nature for use,CABI-ISC,1959,GBIF
Adenophyllum cooperi (A.Gray) Strother,,,,,,
Adenostemma lavenia (L.) Kuntze,,,,,1847,GBIF
Adonidia merrillii (Becc.) Becc.,,,,,2019,GBIF
Aechmea nudicaulis (L.) Griseb.,,,,,2020,GBIF
Aeluropus lagopoides (L.) Thwaites,,,,,1795,GBIF
Aeonium arboreum Webb & Berthel.,,,,,,
Aerva javanica (Burm.f.) Juss. ex Schult.,Accidental,"3,4",Contaminant or stowaway (mentioned as accidental),"Lit (Sekar, K. C. 2012. Invasive alien plants of Indian Himalayan region—diversity and implication. - American Journal of Plant Sciences 2012: 177-184.)",1799,GBIF
Aeschynomene americana L.,Agroforestry,2,Agriculture;Forestry,CABI-ISC,1969,GBIF
Aeschynomene brasiliana (Poir.) DC.,,,,,,
Aeschynomene indica L.,Seed Contaminant,3,Seed contaminant,CABI-ISC,1798,GBIF
Agapanthus africanus (L.) Hoffmanns.,,,,,2012,GBIF
Agapanthus praecox Willd.,,,,,,
Agave americana L.,Ornamental,2,Ornamental purpose other than horticulture,CABI-ISC,1881,GBIF
Agave cantala (Haw.) Roxb. ex Salm-Dyck,,,,,,
Agave salmiana Otto ex Salm-Dyck,,,,,,
Agave vera-cruz Mill.,,,,,,
Agave vivipara L.,,,,,,
Ageratina adenophora (Spreng.) R.M.King & H.Rob.,Ornamental,2,Ornamental purpose other than horticulture,"Book (Tripathi, R., et al. 2012. Biology of Chromolaena odorata, Ageratina adenophora and Ageratina riparia: a review. - In: Bhatt, J. R., et al. (eds.), Invasive alien plants: an ecological appraisal for the Indian subcontinent. CABI, pp. 43-56.)",1924,"Book (Tripathi, R., et al. 2012. Biology of Chromolaena odorata, Ageratina adenophora and Ageratina riparia: a review. - In: Bhatt, J. R., et al. (eds.), Invasive alien plants: an ecological appraisal for the Indian subcontinent. CABI, pp. 43-56.)"
Ageratina ligustrina (DC.) R.M.King & H.Rob.,Ornamental,2,Ornamental purpose other than horticulture,"Book (Hiremath, A. J. and Sundaram, B. 2013. Invasive plant species in Indian protected areas: conserving biodiversity in cultural landscapes. - In: Foxcroft, L. C., et al. (eds.), Plant invasions in protected areas. Springer Netherlands, pp. 241-266., Hiremath and Sundaram 2013)",,
