Acc_Species_Name,Wet.Evergreen.forest,Semi.Evergreen.forest,Moist.Deciduous.forest,Dry.Deciduous.forest,Mangrove.forest,Dry.Evegreen.forest,Thorn.forest,Sub.tropical.broad.leaved.forest,Subtropical.Pine.forest,Subtropical.Dry.Evergreen.forest,Montane.Wet.Temperate.forest,Montane.Moist.Temperate.forest,Montane.Dry.Temperate.forest,Sub.Alpine.forest,Sub.Alpine.forest.1,Sub.Alpine.forest.2,Tropical.Dry.Scrub,Tropical.Moist.Scrub,Subtropical.Scrub,Temperate.Scrub,Moist.Alpine.Scrub,Dry.Alpine.Scrub,Mangrove.Scrub,Unclassified,Plantations,Scrub,Grasslands,Orchards,Water,Settlements,Barren.snow.rann,Agriculture,Tree.Savannah,Shrub.Savannah,Source
Abelmoschus manihot (L.) Medik.,,1,1,,,,,,,,,,,,,,1,,,,,,,,1,,,,1,1,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Abutilon auritum (Wall. ex Link) Sweet,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Acacia auriculiformis Benth.,1,1,,1,,,,,,,,,,,,,1,,,,,,,,,,1,,1,,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Acacia balfourii Woodrow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia concurrens Pedley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia cornigera (L.) Willd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia cultriformis G.Don,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia dealbata Link,,1,1,1,,,,1,1,,,,,,,,1,,,,,,,,1,,,,,,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Acacia decora Rchb.f.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia farnesiana (L.) Willd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia holosericea G.Don,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia linifolia (Vent.) Willd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia longifolia (Andrews) Willd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Acacia mearnsii De Wild.,,1,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Acacia melanoxylon R.Br.,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Acacia myrtifolia (Sm.) Willd.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia neriifolia Benth.,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Acacia nilotica (L.) Delile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Acacia omalophylla Benth.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia paradoxa DC.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia pulchella R.Br.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia pycnantha Benth.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Acacia retinodes Schltdl.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia richii A.Gray,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia saligna (Labill.) H.L.Wendl.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acacia senegal (L.) Willd.,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,"Reddy, C. S., et al. 2015. Nationwide classification of forest types of India using remote sensing and GIS. - Environ. Monit. Assess. 187: 777."
Acacia sphaerocephala Cham. & Schltdl.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
