Acc_Species_Name,NL.Plant,NL.Plant.Price(Rs),NL.Plants.Booked,NL.Seed,NL.Seed.Price(Rs),NL.Seed.Weight(kg),NL.Seed.Numbers,NL.Seed.Booked,PL.Plant.Price(Rs),Source
Abelmoschus manihot (L.) Medik.,,,,,,,,,,
Abutilon auritum (Wall. ex Link) Sweet,,,,,,,,,,
Acacia auriculiformis Benth.,1,249,285,1,945,0.5,,185,375,NL;PL
Acacia balfourii Woodrow,,,,,,,,,,
Acacia concurrens Pedley,,,,,,,,,,
Acacia cornigera (L.) Willd.,,,,,,,,,,
Acacia cultriformis G.Don,,,,,,,,,,
Acacia dealbata Link,,,,1,1823,0.5,,,519,NL;PL
Acacia decora Rchb.f.,,,,,,,,,,
Acacia farnesiana (L.) Willd.,,,,1,742,0.5,,169,419,NL;PL
Acacia holosericea G.Don,1,,276,,,,,,,NL
Acacia linifolia (Vent.) Willd.,,,,,,,,,,
Acacia longifolia (Andrews) Willd.,,,,,,,,,,
Acacia mearnsii De Wild.,,,,1,1823,0.5,,295,399,NL;PL
Acacia melanoxylon R.Br.,,,,,,,,,,
Acacia myrtifolia (Sm.) Willd.,,,,,,,,,,
Acacia neriifolia Benth.,,,,,,,,,,
Acacia nilotica (L.) Delile,,,,1,477,,,122,49,NL;PL
Acacia omalophylla Benth.,,,,,,,,,,
Acacia paradoxa DC.,,,,,,,,,,
Acacia pulchella R.Br.,,,,,,,,,,
Acacia pycnantha Benth.,,,,,,,,,,
Acacia retinodes Schltdl.,,,,,,,,,,
Acacia richii A.Gray,,,,,,,,,,
Acacia saligna (Labill.) H.L.Wendl.,,,,,,,,,,
Acacia senegal (L.) Willd.,,,,1,399,1,,,,NL
Acacia sphaerocephala Cham. & Schltdl.,,,,,,,,,,
Acacia truncata Hoffmanns.,,,,,,,,,,
Acacia verticillata (L'Her.) Willd.,,,,,,,,,,
Acalypha ciliata Forssk.,,,,,,,,,,
Acanthospermum hispidum DC.,,,,,,,,,499,PL
Acanthus mollis L.,,,,,,,,,,
Acanthus montanus (Nees) T.Anderson,1,,131,,,,,,299,NL;PL
Acer pseudoplatanus L.,,,,,,,,,,
Achetaria azurea (Linden) V.C.Souza,,,,,,,,,,
Achillea millefolium L.,1,,226,,,,,,399,NL;PL
Achimenes longiflora DC.,,,,,,,,,,
Achyranthes aspera L.,,,,,,,,,899,PL
Acmella ciliata (Kunth) Cass.,,,,,,,,,,
Acmella radicans (Jacq.) R.K.Jansen,,,,,,,,,,
Acmella uliginosa (Sw.) Cass.,,,,,,,,,399,PL
Adenophyllum cooperi (A.Gray) Strother,,,,,,,,,,
Adenostemma lavenia (L.) Kuntze,,,,,,,,,,
Adonidia merrillii (Becc.) Becc.,,,,,,,,,799,PL
Aechmea nudicaulis (L.) Griseb.,1,,12,,,,,,299,NL;PL
Aeluropus lagopoides (L.) Thwaites,,,,,,,,,,
Aeonium arboreum Webb & Berthel.,1,,249,,,,,,299,NL;PL
Aerva javanica (Burm.f.) Juss. ex Schult.,,,,,,,,,,
Aeschynomene americana L.,,,,,,,,,399,PL
Aeschynomene brasiliana (Poir.) DC.,,,,,,,,,,
Aeschynomene indica L.,,,,,,,,,399,PL
Agapanthus africanus (L.) Hoffmanns.,1,,281,,,,,,299,NL;PL
Agapanthus praecox Willd.,,,,,,,,,,
Agave americana L.,1,549,13,,,,,,535,NL;PL
Agave cantala (Haw.) Roxb. ex Salm-Dyck,,,,,,,,,,
Agave salmiana Otto ex Salm-Dyck,,,,,,,,,535,PL
Agave vera-cruz Mill.,,,,,,,,,,
Agave vivipara L.,,,,,,,,,399,PL
Ageratina adenophora (Spreng.) R.M.King & H.Rob.,,,,,,,,,399,PL
Ageratina ligustrina (DC.) R.M.King & H.Rob.,,,,,,,,,,
Ageratina riparia (Regel) R.M.King & H.Rob.,,,,,,,,,,
Ageratum conyzoides (L.) L.,,,,,,,,,299,PL
Ageratum houstonianum Mill.,1,,246,,,,,,,NL
Agonis flexuosa (Muhl. ex Willd.) Sweet,,,,,,,,,,
Agrostemma githago L.,,,,,,,,,,
Agrostis idahoensis Nash,,,,,,,,,,
Aidia cochinchinensis Lour.,,,,,,,,,,
Ailanthus altissima (Mill.) Swingle,,,,,,,,,,
Aiphanes horrida (Jacq.) Burret,,,,,,,,,,
Albizia lebbeck (L.) Benth.,,,,1,1295,0.5,,24,899,NL;PL
Albizia niopoides (Benth.) Burkart,,,,,,,,,,
Alcea rosea L.,1,,214,,,,,,499,NL;PL
Aleurites rockinghamensis (Baill.) P.I.Forst.,,,,,,,,,,
Alisma gramineum Lej.,,,,,,,,,,
Alisma lanceolatum With.,,,,,,,,,,
Allamanda cathartica L.,1,349,488,,,,,,499,NL;PL
Alliaria petiolata (M.Bieb.) Cavara & Grande,,,,,,,,,,
