Acc_Species_Name,TDWG_Level2,TDWG_Level2_Names,Source
Abelmoschus manihot (L.) Medik.,36,China,GRIN
Abelmoschus manihot (L.) Medik.,38,Eastern Asia,GRIN
Abelmoschus manihot (L.) Medik.,40,Indian Subcontinent,GRIN
Abelmoschus manihot (L.) Medik.,43,Papuasia,GRIN
Abelmoschus manihot (L.) Medik.,41,Indo-China,GRIN
Abelmoschus manihot (L.) Medik.,42,Malesia,GRIN
Acacia auriculiformis Benth.,43,Papuasia,GRIN
Acacia auriculiformis Benth.,50,Australia,GRIN
Acacia concurrens Pedley,50,Australia,GRIN
Acacia cornigera (L.) Willd.,79,Mexico,GRIN
Acacia cornigera (L.) Willd.,80,Central America,GRIN
Acacia cornigera (L.) Willd.,81,Caribbean,GRIN
Acacia cultriformis G.Don,50,Australia,GRIN
Acacia dealbata Link,50,Australia,GRIN
Acacia decora Rchb.f.,50,Australia,GRIN
Acacia farnesiana (L.) Willd.,78,Southeastern U.S.A.,GRIN
Acacia farnesiana (L.) Willd.,77,South-Central U.S.A.,GRIN
Acacia farnesiana (L.) Willd.,76,Southwestern U.S.A.,GRIN
Acacia farnesiana (L.) Willd.,81,Caribbean,GRIN
Acacia farnesiana (L.) Willd.,80,Central America,GRIN
Acacia farnesiana (L.) Willd.,82,Northern South America,GRIN
Acacia farnesiana (L.) Willd.,84,Brazil,GRIN
Acacia farnesiana (L.) Willd.,83,Western South America,GRIN
Acacia farnesiana (L.) Willd.,79,Mexico,GRIN
Acacia holosericea G.Don,50,Australia,GRIN
Acacia linifolia (Vent.) Willd.,50,Australia,GRIN
Acacia longifolia (Andrews) Willd.,50,Australia,GRIN
Acacia mearnsii De Wild.,50,Australia,GRIN
Acacia melanoxylon R.Br.,50,Australia,GRIN
Acacia myrtifolia (Sm.) Willd.,50,Australia,GRIN
Acacia neriifolia Benth.,50,Australia,GRIN
Acacia nilotica (L.) Delile,20,Northern Africa,GRIN
Acacia nilotica (L.) Delile,24,Northeast Tropical Africa,GRIN
Acacia nilotica (L.) Delile,25,East Tropical Africa,GRIN
Acacia nilotica (L.) Delile,22,West Tropical Africa,GRIN
Acacia nilotica (L.) Delile,26,South Tropical Africa,GRIN
Acacia nilotica (L.) Delile,27,Southern Africa,GRIN
Acacia nilotica (L.) Delile,35,Arabian Peninsula,GRIN
Acacia nilotica (L.) Delile,34,Western Asia,GRIN
Acacia nilotica (L.) Delile,40,Indian Subcontinent,GRIN
Acacia omalophylla Benth.,50,Australia,GRIN
Acacia paradoxa DC.,50,Australia,GRIN
Acacia pulchella R.Br.,50,Australia,GRIN
Acacia pycnantha Benth.,50,Australia,GRIN
Acacia richii A.Gray,60,Southwestern Pacific,GRIN
Acacia saligna (Labill.) H.L.Wendl.,50,Australia,GRIN
Acacia senegal (L.) Willd.,24,Northeast Tropical Africa,GRIN
Acacia senegal (L.) Willd.,25,East Tropical Africa,GRIN
Acacia senegal (L.) Willd.,23,West-Central Tropical Africa,GRIN
Acacia senegal (L.) Willd.,22,West Tropical Africa,GRIN
Acacia senegal (L.) Willd.,26,South Tropical Africa,GRIN
Acacia senegal (L.) Willd.,27,Southern Africa,GRIN
Acacia senegal (L.) Willd.,35,Arabian Peninsula,GRIN
Acacia senegal (L.) Willd.,40,Indian Subcontinent,GRIN
Acacia sphaerocephala Cham. & Schltdl.,79,Mexico,GRIN
Acacia truncata Hoffmanns.,50,Australia,GRIN
Acacia verticillata (L'Her.) Willd.,50,Australia,GRIN
Acanthospermum hispidum DC.,81,Caribbean,GRIN
Acanthospermum hispidum DC.,80,Central America,GRIN
Acanthospermum hispidum DC.,82,Northern South America,GRIN
Acanthospermum hispidum DC.,84,Brazil,GRIN
Acanthospermum hispidum DC.,83,Western South America,GRIN
Acanthospermum hispidum DC.,85,Southern South America,GRIN
Acanthus mollis L.,20,Northern Africa,GRIN
Acanthus mollis L.,34,Western Asia,GRIN
Acanthus mollis L.,12,Southwestern Europe,GRIN
Acanthus mollis L.,13,Southeastern Europe,GRIN
Acanthus montanus (Nees) T.Anderson,23,West-Central Tropical Africa,GRIN
Acanthus montanus (Nees) T.Anderson,22,West Tropical Africa,GRIN
Acanthus montanus (Nees) T.Anderson,26,South Tropical Africa,GRIN
Acer pseudoplatanus L.,33,Caucasus,GRIN
Acer pseudoplatanus L.,10,Northern Europe,GRIN
Acer pseudoplatanus L.,11,Middle Europe,GRIN
Acer pseudoplatanus L.,12,Southwestern Europe,GRIN
Acer pseudoplatanus L.,13,Southeastern Europe,GRIN
Acer pseudoplatanus L.,14,Eastern Europe,GRIN
Achillea millefolium L.,34,Western Asia,GRIN
Achillea millefolium L.,33,Caucasus,GRIN
Achillea millefolium L.,30,Siberia,GRIN
Achillea millefolium L.,32,Middle Asia,GRIN
Achillea millefolium L.,37,Mongolia,GRIN
Achillea millefolium L.,40,Indian Subcontinent,GRIN
Achillea millefolium L.,10,Northern Europe,GRIN
Achillea millefolium L.,11,Middle Europe,GRIN
Achillea millefolium L.,12,Southwestern Europe,GRIN
Achillea millefolium L.,13,Southeastern Europe,GRIN
Achillea millefolium L.,14,Eastern Europe,GRIN
Achillea millefolium L.,70,Subarctic America,GRIN
Achillea millefolium L.,71,Western Canada,GRIN
Achillea millefolium L.,72,Eastern Canada,GRIN
Achillea millefolium L.,73,Northwestern U.S.A.,GRIN
Achillea millefolium L.,74,North-Central U.S.A.,GRIN
Achillea millefolium L.,75,Northeastern U.S.A.,GRIN
Achillea millefolium L.,76,Southwestern U.S.A.,GRIN
Achillea millefolium L.,77,South-Central U.S.A.,GRIN
Achillea millefolium L.,78,Southeastern U.S.A.,GRIN
Achillea millefolium L.,79,Mexico,GRIN
Achillea millefolium L.,80,Central America,GRIN
Achimenes longiflora DC.,79,Mexico,GRIN
Achimenes longiflora DC.,80,Central America,GRIN
Achimenes longiflora DC.,83,Western South America,GRIN
Achyranthes aspera L.,20,Northern Africa,GRIN
Achyranthes aspera L.,24,Northeast Tropical Africa,GRIN
Achyranthes aspera L.,25,East Tropical Africa,GRIN
Achyranthes aspera L.,23,West-Central Tropical Africa,GRIN
Achyranthes aspera L.,22,West Tropical Africa,GRIN
Achyranthes aspera L.,34,Western Asia,GRIN
Achyranthes aspera L.,36,China,GRIN
Achyranthes aspera L.,38,Eastern Asia,GRIN
Achyranthes aspera L.,40,Indian Subcontinent,GRIN
Achyranthes aspera L.,41,Indo-China,GRIN
Achyranthes aspera L.,42,Malesia,GRIN
Achyranthes aspera L.,50,Australia,GRIN
Achyranthes aspera L.,13,Southeastern Europe,GRIN
Achyranthes aspera L.,12,Southwestern Europe,GRIN
Achyranthes aspera L.,79,Mexico,GRIN
Achyranthes aspera L.,81,Caribbean,GRIN
Achyranthes aspera L.,80,Central America,GRIN
Achyranthes aspera L.,82,Northern South America,GRIN
Achyranthes aspera L.,83,Western South America,GRIN
Acmella uliginosa (Sw.) Cass.,25,East Tropical Africa,GRIN
Acmella uliginosa (Sw.) Cass.,23,West-Central Tropical Africa,GRIN
Acmella uliginosa (Sw.) Cass.,22,West Tropical Africa,GRIN
Acmella uliginosa (Sw.) Cass.,40,Indian Subcontinent,GRIN
Acmella uliginosa (Sw.) Cass.,43,Papuasia,GRIN
Acmella uliginosa (Sw.) Cass.,41,Indo-China,GRIN
Acmella uliginosa (Sw.) Cass.,42,Malesia,GRIN
Acmella uliginosa (Sw.) Cass.,60,Southwestern Pacific,GRIN
Acmella uliginosa (Sw.) Cass.,81,Caribbean,GRIN
Acmella uliginosa (Sw.) Cass.,80,Central America,GRIN
Acmella uliginosa (Sw.) Cass.,82,Northern South America,GRIN
Acmella uliginosa (Sw.) Cass.,84,Brazil,GRIN
Acmella uliginosa (Sw.) Cass.,83,Western South America,GRIN
Adenophyllum cooperi (A.Gray) Strother,76,Southwestern U.S.A.,GRIN
Adenostemma lavenia (L.) Kuntze,40,Indian Subcontinent,GRIN
Adonidia merrillii (Becc.) Becc.,42,Malesia,GRIN
Aechmea nudicaulis (L.) Griseb.,84,Brazil,GRIN
Aeluropus lagopoides (L.) Thwaites,20,Northern Africa,GRIN
Aeluropus lagopoides (L.) Thwaites,24,Northeast Tropical Africa,GRIN
Aeluropus lagopoides (L.) Thwaites,35,Arabian Peninsula,GRIN
Aeluropus lagopoides (L.) Thwaites,34,Western Asia,GRIN
Aeluropus lagopoides (L.) Thwaites,33,Caucasus,GRIN
Aeluropus lagopoides (L.) Thwaites,32,Middle Asia,GRIN
Aeluropus lagopoides (L.) Thwaites,40,Indian Subcontinent,GRIN
Aeluropus lagopoides (L.) Thwaites,13,Southeastern Europe,GRIN
Aeonium arboreum Webb & Berthel.,21,Macaronesia,GRIN
Aeonium arboreum Webb & Berthel.,20,Northern Africa,GRIN
Aerva javanica (Burm.f.) Juss. ex Schult.,20,Northern Africa,GRIN
Aerva javanica (Burm.f.) Juss. ex Schult.,24,Northeast Tropical Africa,GRIN
Aerva javanica (Burm.f.) Juss. ex Schult.,25,East Tropical Africa,GRIN
Aerva javanica (Burm.f.) Juss. ex Schult.,23,West-Central Tropical Africa,GRIN
Aerva javanica (Burm.f.) Juss. ex Schult.,22,West Tropical Africa,GRIN
Aerva javanica (Burm.f.) Juss. ex Schult.,26,South Tropical Africa,GRIN
Aerva javanica (Burm.f.) Juss. ex Schult.,27,Southern Africa,GRIN
Aerva javanica (Burm.f.) Juss. ex Schult.,29,Western Indian Ocean,GRIN
Aerva javanica (Burm.f.) Juss. ex Schult.,35,Arabian Peninsula,GRIN
Aerva javanica (Burm.f.) Juss. ex Schult.,34,Western Asia,GRIN
Aerva javanica (Burm.f.) Juss. ex Schult.,40,Indian Subcontinent,GRIN
Aerva javanica (Burm.f.) Juss. ex Schult.,41,Indo-China,GRIN
Aeschynomene americana L.,78,Southeastern U.S.A.,GRIN
Aeschynomene americana L.,79,Mexico,GRIN
Aeschynomene americana L.,81,Caribbean,GRIN
Aeschynomene americana L.,80,Central America,GRIN
Aeschynomene americana L.,82,Northern South America,GRIN
Aeschynomene americana L.,84,Brazil,GRIN
Aeschynomene americana L.,83,Western South America,GRIN
Aeschynomene americana L.,85,Southern South America,GRIN
Aeschynomene brasiliana (Poir.) DC.,79,Mexico,GRIN
Aeschynomene brasiliana (Poir.) DC.,80,Central America,GRIN
Aeschynomene brasiliana (Poir.) DC.,81,Caribbean,GRIN
Aeschynomene brasiliana (Poir.) DC.,82,Northern South America,GRIN
Aeschynomene brasiliana (Poir.) DC.,83,Western South America,GRIN
Aeschynomene brasiliana (Poir.) DC.,84,Brazil,GRIN
Aeschynomene indica L.,24,Northeast Tropical Africa,GRIN
Aeschynomene indica L.,25,East Tropical Africa,GRIN
Aeschynomene indica L.,23,West-Central Tropical Africa,GRIN
Aeschynomene indica L.,22,West Tropical Africa,GRIN
Aeschynomene indica L.,26,South Tropical Africa,GRIN
Aeschynomene indica L.,27,Southern Africa,GRIN
Aeschynomene indica L.,29,Western Indian Ocean,GRIN
Aeschynomene indica L.,36,China,GRIN
Aeschynomene indica L.,38,Eastern Asia,GRIN
Aeschynomene indica L.,40,Indian Subcontinent,GRIN
Aeschynomene indica L.,43,Papuasia,GRIN
Aeschynomene indica L.,41,Indo-China,GRIN
Aeschynomene indica L.,42,Malesia,GRIN
Aeschynomene indica L.,50,Australia,GRIN
Aeschynomene indica L.,75,Northeastern U.S.A.,GRIN
Aeschynomene indica L.,77,South-Central U.S.A.,GRIN
Aeschynomene indica L.,79,Mexico,GRIN
Agapanthus africanus (L.) Hoffmanns.,27,Southern Africa,GRIN
Agapanthus praecox Willd.,27,Southern Africa,GRIN
Agave americana L.,77,South-Central U.S.A.,GRIN
Agave americana L.,79,Mexico,GRIN
Agave salmiana Otto ex Salm-Dyck,79,Mexico,GRIN
Agave vivipara L.,81,Caribbean,GRIN
Ageratina adenophora (Spreng.) R.M.King & H.Rob.,79,Mexico,GRIN
Ageratina ligustrina (DC.) R.M.King & H.Rob.,79,Mexico,GRIN
Ageratina ligustrina (DC.) R.M.King & H.Rob.,80,Central America,GRIN
Ageratina riparia (Regel) R.M.King & H.Rob.,79,Mexico,GRIN
Ageratum conyzoides (L.) L.,81,Caribbean,GRIN
Ageratum conyzoides (L.) L.,80,Central America,GRIN
Ageratum conyzoides (L.) L.,82,Northern South America,GRIN
Ageratum conyzoides (L.) L.,84,Brazil,GRIN
Ageratum conyzoides (L.) L.,83,Western South America,GRIN
Ageratum conyzoides (L.) L.,85,Southern South America,GRIN
Ageratum houstonianum Mill.,79,Mexico,GRIN
Ageratum houstonianum Mill.,80,Central America,GRIN
Agonis flexuosa (Muhl. ex Willd.) Sweet,50,Australia,GRIN
Agrostemma githago L.,20,Northern Africa,GRIN
Agrostemma githago L.,34,Western Asia,GRIN
Agrostemma githago L.,33,Caucasus,GRIN
Agrostemma githago L.,30,Siberia,GRIN
Agrostemma githago L.,32,Middle Asia,GRIN
Agrostemma githago L.,36,China,GRIN
Agrostemma githago L.,10,Northern Europe,GRIN
Agrostemma githago L.,11,Middle Europe,GRIN
Agrostemma githago L.,14,Eastern Europe,GRIN
Agrostemma githago L.,12,Southwestern Europe,GRIN
Agrostemma githago L.,13,Southeastern Europe,GRIN
Agrostis idahoensis Nash,21,Macaronesia,GRIN
Agrostis idahoensis Nash,20,Northern Africa,GRIN
Agrostis idahoensis Nash,34,Western Asia,GRIN
Agrostis idahoensis Nash,33,Caucasus,GRIN
Agrostis idahoensis Nash,30,Siberia,GRIN
Agrostis idahoensis Nash,32,Middle Asia,GRIN
Agrostis idahoensis Nash,36,China,GRIN
Agrostis idahoensis Nash,10,Northern Europe,GRIN
Agrostis idahoensis Nash,11,Middle Europe,GRIN
Agrostis idahoensis Nash,12,Southwestern Europe,GRIN
Agrostis idahoensis Nash,13,Southeastern Europe,GRIN
Agrostis idahoensis Nash,14,Eastern Europe,GRIN
Aidia cochinchinensis Lour.,36,China,GRIN
Aidia cochinchinensis Lour.,41,Indo-China,GRIN
Aiphanes horrida (Jacq.) Burret,81,Caribbean,GRIN
Aiphanes horrida (Jacq.) Burret,82,Northern South America,GRIN
Aiphanes horrida (Jacq.) Burret,84,Brazil,GRIN
Aiphanes horrida (Jacq.) Burret,83,Western South America,GRIN
Albizia niopoides (Benth.) Burkart,79,Mexico,GRIN
Albizia niopoides (Benth.) Burkart,81,Caribbean,GRIN
Albizia niopoides (Benth.) Burkart,80,Central America,GRIN
Albizia niopoides (Benth.) Burkart,82,Northern South America,GRIN
Albizia niopoides (Benth.) Burkart,84,Brazil,GRIN
Albizia niopoides (Benth.) Burkart,83,Western South America,GRIN
Albizia niopoides (Benth.) Burkart,85,Southern South America,GRIN
Aleurites rockinghamensis (Baill.) P.I.Forst.,43,Papuasia,GRIN
Aleurites rockinghamensis (Baill.) P.I.Forst.,50,Australia,GRIN
