Acc_Species_Name,Longitude,Latitude,Source
Abelmoschus manihot (L.) Medik.,77.739843,22.706496,GBIF
Abelmoschus manihot (L.) Medik.,73.279789,18.35593,GBIF
Abelmoschus manihot (L.) Medik.,72.958065,19.154546,GBIF
Abelmoschus manihot (L.) Medik.,72.964628,19.141906,GBIF
Abelmoschus manihot (L.) Medik.,72.938179,19.12079,GBIF
Abelmoschus manihot (L.) Medik.,72.9977,19.0934,GBIF
Abelmoschus manihot (L.) Medik.,69.8403,22.3688,GBIF
Abelmoschus manihot (L.) Medik.,72.964582,19.141925,GBIF
Abelmoschus manihot (L.) Medik.,73.388553,18.701228,GBIF
Abelmoschus manihot (L.) Medik.,73.584,22.692,GBIF
Abelmoschus manihot (L.) Medik.,76.346874,21.943405,GBIF
Abelmoschus manihot (L.) Medik.,76.27327,10.49924,GBIF
Abelmoschus manihot (L.) Medik.,76.27327,10.49924,GBIF
Abelmoschus manihot (L.) Medik.,76.333333,21.633333,GBIF
Abelmoschus manihot (L.) Medik.,76.412273,27.364386,GBIF
Abelmoschus manihot (L.) Medik.,79.61611,22.88361,GBIF
Abelmoschus manihot (L.) Medik.,79.61611,22.88361,GBIF
Abelmoschus manihot (L.) Medik.,79.61611,22.88361,GBIF
Abutilon auritum (Wall. ex Link) Sweet,88.290833,22.558611,GBIF
Acacia auriculiformis Benth.,79.5,10.5,GBIF
Acacia auriculiformis Benth.,77.32,10.78,GBIF
Acacia auriculiformis Benth.,77,11,GBIF
Acacia auriculiformis Benth.,77.558587,12.719578,GBIF
Acacia auriculiformis Benth.,77.526248,12.879772,GBIF
Acacia auriculiformis Benth.,77.562658,13.065279,GBIF
Acacia auriculiformis Benth.,77.578842,13.069916,GBIF
Acacia auriculiformis Benth.,77.559788,13.072781,GBIF
Acacia auriculiformis Benth.,74.787731,13.342946,GBIF
Acacia auriculiformis Benth.,74.786992,13.345583,GBIF
Acacia auriculiformis Benth.,74.033405,15.007003,GBIF
Acacia auriculiformis Benth.,73.919136,15.264256,GBIF
Acacia auriculiformis Benth.,73.907373,15.309663,GBIF
Acacia auriculiformis Benth.,73.87352,15.39113,GBIF
Acacia auriculiformis Benth.,74.560484,21.360114,GBIF
Acacia auriculiformis Benth.,70.367,21.466,GBIF
Acacia auriculiformis Benth.,89,22,GBIF
Acacia auriculiformis Benth.,82.14006,22.130478,GBIF
Acacia auriculiformis Benth.,87.007634,22.990598,GBIF
Acacia auriculiformis Benth.,87.044722,23.264167,GBIF
Acacia auriculiformis Benth.,81.8,23.783333,GBIF
Acacia auriculiformis Benth.,91.273582,23.791958,GBIF
Acacia auriculiformis Benth.,91.741433,26.185469,GBIF
Acacia auriculiformis Benth.,79.203031,27.976803,GBIF
Acacia auriculiformis Benth.,77.55,29.966667,GBIF
Acacia auriculiformis Benth.,74.792175,32.653252,GBIF
Acacia dealbata Link,76.31244,10.053341,GBIF
Acacia dealbata Link,76.298838,10.062058,GBIF
Acacia dealbata Link,77.4875,10.235278,GBIF
Acacia dealbata Link,77.32,10.78,GBIF
Acacia dealbata Link,77,11,GBIF
Acacia dealbata Link,76.689057,11.395372,GBIF
Acacia dealbata Link,75.123909,12.278447,GBIF
Acacia dealbata Link,76.709852,12.898008,GBIF
Acacia dealbata Link,80.631385,16.512468,GBIF
Acacia dealbata Link,78.126945,17.597855,GBIF
Acacia dealbata Link,72.035891,21.304701,GBIF
Acacia dealbata Link,79.961944,23.173333,GBIF
Acacia dealbata Link,79.961667,23.173611,GBIF
Acacia dealbata Link,79.961944,23.173611,GBIF
Acacia dealbata Link,79.961944,23.173889,GBIF
