Acc_Species_Name,Class,Order ,Family,Genus,Species,Authority,Invasion.Status,Source
Abelmoschus manihot (L.) Medik.,Magnoliopsida,Malvales,Malvaceae,Abelmoschus,manihot,(L.) Medik.,N,ILORA_Sp.Categorization.Metadata
Abutilon auritum (Wall. ex Link) Sweet,Magnoliopsida,Malvales,Malvaceae,Abutilon,auritum,(Wall. ex Link) Sweet,CA,ILORA_Sp.Categorization.Metadata
Acacia auriculiformis Benth.,Magnoliopsida,Fabales,Fabaceae,Acacia,auriculiformis,Benth.,In,ILORA_Sp.Categorization.Metadata
Acacia balfourii Woodrow,Magnoliopsida,Fabales,Fabaceae,Acacia,balfourii,Woodrow,CA,ILORA_Sp.Categorization.Metadata
Acacia concurrens Pedley,Magnoliopsida,Fabales,Fabaceae,Acacia,concurrens,Pedley,CA,ILORA_Sp.Categorization.Metadata
Acacia cornigera (L.) Willd.,Magnoliopsida,Fabales,Fabaceae,Acacia,cornigera,(L.) Willd.,CA,ILORA_Sp.Categorization.Metadata
Acacia cultriformis G.Don,Magnoliopsida,Fabales,Fabaceae,Acacia,cultriformis,G.Don,CA,ILORA_Sp.Categorization.Metadata
Acacia dealbata Link,Magnoliopsida,Fabales,Fabaceae,Acacia,dealbata,Link,In,ILORA_Sp.Categorization.Metadata
Acacia decora Rchb.f.,Magnoliopsida,Fabales,Fabaceae,Acacia,decora,Rchb.f.,CA,ILORA_Sp.Categorization.Metadata
Acacia farnesiana (L.) Willd.,Magnoliopsida,Fabales,Fabaceae,Acacia,farnesiana,(L.) Willd.,In,ILORA_Sp.Categorization.Metadata
Acacia holosericea G.Don,Magnoliopsida,Fabales,Fabaceae,Acacia,holosericea,G.Don,CA,ILORA_Sp.Categorization.Metadata
Acacia linifolia (Vent.) Willd.,Magnoliopsida,Fabales,Fabaceae,Acacia,linifolia,(Vent.) Willd.,CA,ILORA_Sp.Categorization.Metadata
Acacia longifolia (Andrews) Willd.,Magnoliopsida,Fabales,Fabaceae,Acacia,longifolia,(Andrews) Willd.,CA,ILORA_Sp.Categorization.Metadata
Acacia mearnsii De Wild.,Magnoliopsida,Fabales,Fabaceae,Acacia,mearnsii,De Wild.,In,ILORA_Sp.Categorization.Metadata
Acacia melanoxylon R.Br.,Magnoliopsida,Fabales,Fabaceae,Acacia,melanoxylon,R.Br.,In,ILORA_Sp.Categorization.Metadata
Acacia myrtifolia (Sm.) Willd.,Magnoliopsida,Fabales,Fabaceae,Acacia,myrtifolia,(Sm.) Willd.,CA,ILORA_Sp.Categorization.Metadata
Acacia neriifolia Benth.,Magnoliopsida,Fabales,Fabaceae,Acacia,neriifolia,Benth.,CA,ILORA_Sp.Categorization.Metadata
Acacia nilotica (L.) Delile,Magnoliopsida,Fabales,Fabaceae,Acacia,nilotica,(L.) Delile,N,ILORA_Sp.Categorization.Metadata
Acacia omalophylla Benth.,Magnoliopsida,Fabales,Fabaceae,Acacia,omalophylla,Benth.,CA,ILORA_Sp.Categorization.Metadata
Acacia paradoxa DC.,Magnoliopsida,Fabales,Fabaceae,Acacia,paradoxa,DC.,CA,ILORA_Sp.Categorization.Metadata
Acacia pulchella R.Br.,Magnoliopsida,Fabales,Fabaceae,Acacia,pulchella,R.Br.,CA,ILORA_Sp.Categorization.Metadata
Acacia pycnantha Benth.,Magnoliopsida,Fabales,Fabaceae,Acacia,pycnantha,Benth.,CA,ILORA_Sp.Categorization.Metadata
Acacia retinodes Schltdl.,Magnoliopsida,Fabales,Fabaceae,Acacia,retinodes,Schltdl.,Nt,ILORA_Sp.Categorization.Metadata
Acacia richii A.Gray,Magnoliopsida,Fabales,Fabaceae,Acacia,richii,A.Gray,CA,ILORA_Sp.Categorization.Metadata
Acacia saligna (Labill.) H.L.Wendl.,Magnoliopsida,Fabales,Fabaceae,Acacia,saligna,(Labill.) H.L.Wendl.,CA,ILORA_Sp.Categorization.Metadata
