occupancy,group,value
LULC,Casual,1
LULC,Casual,1
LULC,Casual,1
LULC,Casual,1
LULC,Casual,1
LULC,Casual,1
LULC,Casual,1
LULC,Casual,1
LULC,Casual,1
LULC,Casual,1
LULC,Casual,2
LULC,Casual,2
LULC,Casual,1
LULC,Casual,17
LULC,Casual,3
LULC,Casual,1
LULC,Casual,1
LULC,Casual,3
LULC,Casual,2
LULC,Casual,7
LULC,Casual,1
LULC,Casual,2
LULC,Casual,1
LULC,Casual,2
LULC,Casual,1
LULC,Casual,5
LULC,Casual,2
LULC,Casual,2
LULC,Casual,9
LULC,Casual,1
LULC,Casual,4
LULC,Casual,4
LULC,Casual,2
LULC,Casual,3
LULC,Casual,4
LULC,Casual,16
LULC,Casual,7
LULC,Casual,7
LULC,Casual,1
LULC,Casual,2
LULC,Casual,1
LULC,Casual,1
LULC,Casual,4
LULC,Casual,1
LULC,Casual,1
LULC,Casual,15
LULC,Casual,1
LULC,Casual,1
LULC,Casual,4
LULC,Casual,3
LULC,Casual,3
LULC,Casual,15
LULC,Casual,2
LULC,Casual,6
LULC,Casual,4
LULC,Casual,1
LULC,Casual,3
LULC,Casual,4
LULC,Casual,4
LULC,Casual,1
LULC,Casual,13
LULC,Casual,1
LULC,Casual,3
LULC,Casual,5
LULC,Casual,13
LULC,Casual,3
LULC,Casual,1
LULC,Casual,2
LULC,Casual,2
LULC,Casual,4
LULC,Casual,5
LULC,Casual,15
LULC,Casual,19
LULC,Casual,11
LULC,Casual,2
LULC,Casual,1
LULC,Casual,1
LULC,Casual,4
LULC,Casual,1
LULC,Casual,1
LULC,Casual,10
LULC,Casual,4
LULC,Casual,1
LULC,Casual,1
LULC,Casual,1
LULC,Casual,1
LULC,Casual,1
LULC,Casual,2
LULC,Casual,11
LULC,Casual,10
LULC,Casual,14
LULC,Casual,3
LULC,Casual,14
LULC,Casual,2
LULC,Casual,1
LULC,Casual,1
LULC,Casual,1
LULC,Casual,1
LULC,Casual,6
LULC,Casual,1
LULC,Casual,5
LULC,Casual,1
LULC,Casual,2
LULC,Casual,3
LULC,Casual,1
LULC,Casual,3
LULC,Casual,4
LULC,Casual,1
LULC,Casual,1
LULC,Casual,5
LULC,Casual,5
LULC,Casual,20
LULC,Casual,7
LULC,Casual,17
LULC,Casual,8
LULC,Casual,1
LULC,Casual,4
LULC,Casual,1
LULC,Casual,1
LULC,Casual,1
LULC,Casual,9
LULC,Casual,9
LULC,Casual,7
LULC,Casual,1
LULC,Casual,1
LULC,Casual,4
LULC,Casual,1
LULC,Casual,18
LULC,Casual,7
LULC,Casual,4
LULC,Casual,22
LULC,Casual,1
LULC,Casual,2
LULC,Casual,8
LULC,Casual,13
LULC,Casual,2
LULC,Casual,3
LULC,Casual,1
LULC,Casual,2
LULC,Casual,1
LULC,Casual,6
LULC,Casual,3
LULC,Casual,10
LULC,Casual,1
LULC,Casual,6
LULC,Casual,1
LULC,Casual,6
LULC,Casual,1
LULC,Casual,4
LULC,Casual,4
LULC,Casual,2
LULC,Casual,1
LULC,Casual,2
LULC,Casual,5
LULC,Casual,1
LULC,Casual,1
LULC,Casual,1
LULC,Casual,1
LULC,Casual,1
LULC,Casual,1
LULC,Casual,6
LULC,Casual,1
LULC,Casual,1
LULC,Casual,3
LULC,Casual,1
LULC,Casual,6
LULC,Casual,1
LULC,Casual,8
LULC,Casual,3
LULC,Casual,1
LULC,Casual,8
LULC,Casual,2
LULC,Casual,1
LULC,Casual,4
LULC,Casual,2
LULC,Casual,3
LULC,Casual,1
LULC,Casual,6
LULC,Casual,3
LULC,Casual,1
LULC,Casual,1
LULC,Casual,2
LULC,Casual,3
LULC,Casual,6
LULC,Casual,1
LULC,Casual,1
LULC,Casual,1
LULC,Casual,8
LULC,Casual,6
LULC,Casual,13
LULC,Casual,1
LULC,Casual,3
LULC,Casual,1
LULC,Casual,4
LULC,Casual,3
LULC,Casual,1
LULC,Casual,17
LULC,Casual,1
LULC,Casual,2
LULC,Casual,1
LULC,Casual,1
LULC,Casual,4
LULC,Casual,1
LULC,Casual,2
LULC,Casual,1
LULC,Casual,3
LULC,Casual,1
LULC,Casual,1
LULC,Casual,3
LULC,Casual,1
LULC,Casual,1
LULC,Casual,2
LULC,Casual,1
LULC,Casual,3
LULC,Casual,4
LULC,Casual,7
LULC,Casual,1
LULC,Casual,2
LULC,Casual,1
LULC,Casual,9
LULC,Casual,1
LULC,Casual,9
LULC,Casual,1
LULC,Casual,1
LULC,Casual,15
LULC,Casual,4
LULC,Casual,1
LULC,Casual,2
LULC,Casual,1
LULC,Casual,1
LULC,Casual,5
LULC,Casual,2
LULC,Casual,2
LULC,Casual,3
LULC,Casual,1
LULC,Casual,1
LULC,Casual,9
LULC,Casual,1
LULC,Casual,18
LULC,Casual,12
LULC,Casual,2
LULC,Casual,4
LULC,Casual,1
LULC,Casual,1
LULC,Casual,13
LULC,Casual,3
LULC,Casual,1
LULC,Casual,19
LULC,Casual,1
LULC,Casual,1
LULC,Casual,10
LULC,Casual,3
LULC,Casual,1
LULC,Casual,1
LULC,Casual,2
LULC,Casual,1
LULC,Casual,1
LULC,Casual,12
LULC,Casual,1
LULC,Casual,2
LULC,Casual,6
LULC,Casual,3
LULC,Casual,3
LULC,Casual,3
LULC,Casual,9
LULC,Casual,7
Anthrome,Casual,1
Anthrome,Casual,3
Anthrome,Casual,1
Anthrome,Casual,1
Anthrome,Casual,1
Anthrome,Casual,2
Anthrome,Casual,1
Anthrome,Casual,1
Anthrome,Casual,1
Anthrome,Casual,1
Anthrome,Casual,2
Anthrome,Casual,2
Anthrome,Casual,1
Anthrome,Casual,10
Anthrome,Casual,3
Anthrome,Casual,1
Anthrome,Casual,1
Anthrome,Casual,3
Anthrome,Casual,4
Anthrome,Casual,9
Anthrome,Casual,1
Anthrome,Casual,1
Anthrome,Casual,4
Anthrome,Casual,1
Anthrome,Casual,4
Anthrome,Casual,2
Anthrome,Casual,2
Anthrome,Casual,8
Anthrome,Casual,1
Anthrome,Casual,7
Anthrome,Casual,5
Anthrome,Casual,2
Anthrome,Casual,3
Anthrome,Casual,4
Anthrome,Casual,10
Anthrome,Casual,9
Anthrome,Casual,8
Anthrome,Casual,1
Anthrome,Casual,2
Anthrome,Casual,1
Anthrome,Casual,1
Anthrome,Casual,2
Anthrome,Casual,1
Anthrome,Casual,1
Anthrome,Casual,11
Anthrome,Casual,1
Anthrome,Casual,1
Anthrome,Casual,3
Anthrome,Casual,6
Anthrome,Casual,3
Anthrome,Casual,9
Anthrome,Casual,2
Anthrome,Casual,5
Anthrome,Casual,3
Anthrome,Casual,1
Anthrome,Casual,3
Anthrome,Casual,3
Anthrome,Casual,5
Anthrome,Casual,2
Anthrome,Casual,8
Anthrome,Casual,1
Anthrome,Casual,3
Anthrome,Casual,4
Anthrome,Casual,10
Anthrome,Casual,3
Anthrome,Casual,2
Anthrome,Casual,2
Anthrome,Casual,6
Anthrome,Casual,5
Anthrome,Casual,8
Anthrome,Casual,11
Anthrome,Casual,1
Anthrome,Casual,10
Anthrome,Casual,2
Anthrome,Casual,1
Anthrome,Casual,1
Anthrome,Casual,6
Anthrome,Casual,1
Anthrome,Casual,13
Anthrome,Casual,1
Anthrome,Casual,4
Anthrome,Casual,1
Anthrome,Casual,1
Anthrome,Casual,1
Anthrome,Casual,1
Anthrome,Casual,1
Anthrome,Casual,2
Anthrome,Casual,8
Anthrome,Casual,12
Anthrome,Casual,8
Anthrome,Casual,4
Anthrome,Casual,10
Anthrome,Casual,2
Anthrome,Casual,1
Anthrome,Casual,1
Anthrome,Casual,1
Anthrome,Casual,1
Anthrome,Casual,3
Anthrome,Casual,1
Anthrome,Casual,4
Anthrome,Casual,2
Anthrome,Casual,2
Anthrome,Casual,2
Anthrome,Casual,1
Anthrome,Casual,2
Anthrome,Casual,5
Anthrome,Casual,1
Anthrome,Casual,1
Anthrome,Casual,1
Anthrome,Casual,7
Anthrome,Casual,5
Anthrome,Casual,12
Anthrome,Casual,5
Anthrome,Casual,10
Anthrome,Casual,4
Anthrome,Casual,1
Anthrome,Casual,7
Anthrome,Casual,1
Anthrome,Casual,1
Anthrome,Casual,1
Anthrome,Casual,11
Anthrome,Casual,8
Anthrome,Casual,6
Anthrome,Casual,1
Anthrome,Casual,1
Anthrome,Casual,4
Anthrome,Casual,1
Anthrome,Casual,12
Anthrome,Casual,5
Anthrome,Casual,6
Anthrome,Casual,11
Anthrome,Casual,1
Anthrome,Casual,3
Anthrome,Casual,6
Anthrome,Casual,8
Anthrome,Casual,3
Anthrome,Casual,3
Anthrome,Casual,1
Anthrome,Casual,3
Anthrome,Casual,1
Anthrome,Casual,7
Anthrome,Casual,3
Anthrome,Casual,1
Anthrome,Casual,6
Anthrome,Casual,1
Anthrome,Casual,6
Anthrome,Casual,1
Anthrome,Casual,5
Anthrome,Casual,1
Anthrome,Casual,4
Anthrome,Casual,5
Anthrome,Casual,2
Anthrome,Casual,1
Anthrome,Casual,1
Anthrome,Casual,1
Anthrome,Casual,7
Anthrome,Casual,1
Anthrome,Casual,1
Anthrome,Casual,1
Anthrome,Casual,1
Anthrome,Casual,1
Anthrome,Casual,1
Anthrome,Casual,5
Anthrome,Casual,1
Anthrome,Casual,4
Anthrome,Casual,1
Anthrome,Casual,7
Anthrome,Casual,1
Anthrome,Casual,9
Anthrome,Casual,2
Anthrome,Casual,1
Anthrome,Casual,7
Anthrome,Casual,2
Anthrome,Casual,1
Anthrome,Casual,3
Anthrome,Casual,1
Anthrome,Casual,4
Anthrome,Casual,1
Anthrome,Casual,4
Anthrome,Casual,3
Anthrome,Casual,1
Anthrome,Casual,1
Anthrome,Casual,1
Anthrome,Casual,4
Anthrome,Casual,4
Anthrome,Casual,1
Anthrome,Casual,1
Anthrome,Casual,1
Anthrome,Casual,5
Anthrome,Casual,3
Anthrome,Casual,7
Anthrome,Casual,1
Anthrome,Casual,3
Anthrome,Casual,1
Anthrome,Casual,3
Anthrome,Casual,2
Anthrome,Casual,1
Anthrome,Casual,10
Anthrome,Casual,1
Anthrome,Casual,2
Anthrome,Casual,1
Anthrome,Casual,2
Anthrome,Casual,6
Anthrome,Casual,1
Anthrome,Casual,1
Anthrome,Casual,1
Anthrome,Casual,1
Anthrome,Casual,1
Anthrome,Casual,1
Anthrome,Casual,2
Anthrome,Casual,1
Anthrome,Casual,1
Anthrome,Casual,4
Anthrome,Casual,1
Anthrome,Casual,4
Anthrome,Casual,2
Anthrome,Casual,9
Anthrome,Casual,1
Anthrome,Casual,1
Anthrome,Casual,1
Anthrome,Casual,9
Anthrome,Casual,1
Anthrome,Casual,7
Anthrome,Casual,3
Anthrome,Casual,2
Anthrome,Casual,12
Anthrome,Casual,4
Anthrome,Casual,1
Anthrome,Casual,1
Anthrome,Casual,1
Anthrome,Casual,1
Anthrome,Casual,3
Anthrome,Casual,2
Anthrome,Casual,1
Anthrome,Casual,2
Anthrome,Casual,3
Anthrome,Casual,1
Anthrome,Casual,1
Anthrome,Casual,8
Anthrome,Casual,1
Anthrome,Casual,13
Anthrome,Casual,8
Anthrome,Casual,2
Anthrome,Casual,4
Anthrome,Casual,1
Anthrome,Casual,1
Anthrome,Casual,9
Anthrome,Casual,4
Anthrome,Casual,1
Anthrome,Casual,10
Anthrome,Casual,2
Anthrome,Casual,2
Anthrome,Casual,6
Anthrome,Casual,1
Anthrome,Casual,2
Anthrome,Casual,1
Anthrome,Casual,1
Anthrome,Casual,4
Anthrome,Casual,1
Anthrome,Casual,1
Anthrome,Casual,10
Anthrome,Casual,1
Anthrome,Casual,2
Anthrome,Casual,6
Anthrome,Casual,5
Anthrome,Casual,2
Anthrome,Casual,2
Anthrome,Casual,6
Anthrome,Casual,5
Ecoregion,Casual,1
Ecoregion,Casual,1
Ecoregion,Casual,1
Ecoregion,Casual,1
Ecoregion,Casual,1
Ecoregion,Casual,2
Ecoregion,Casual,1
Ecoregion,Casual,1
Ecoregion,Casual,1
Ecoregion,Casual,1
Ecoregion,Casual,1
Ecoregion,Casual,2
Ecoregion,Casual,1
Ecoregion,Casual,28
Ecoregion,Casual,3
Ecoregion,Casual,1
Ecoregion,Casual,1
Ecoregion,Casual,1
Ecoregion,Casual,3
Ecoregion,Casual,11
Ecoregion,Casual,1
Ecoregion,Casual,2
Ecoregion,Casual,1
Ecoregion,Casual,4
Ecoregion,Casual,1
Ecoregion,Casual,5
Ecoregion,Casual,2
Ecoregion,Casual,2
Ecoregion,Casual,13
Ecoregion,Casual,1
Ecoregion,Casual,3
Ecoregion,Casual,5
Ecoregion,Casual,2
Ecoregion,Casual,3
Ecoregion,Casual,8
Ecoregion,Casual,22
Ecoregion,Casual,11
Ecoregion,Casual,7
Ecoregion,Casual,1
Ecoregion,Casual,2
Ecoregion,Casual,1
Ecoregion,Casual,1
Ecoregion,Casual,3
Ecoregion,Casual,1
Ecoregion,Casual,1
Ecoregion,Casual,25
Ecoregion,Casual,1
Ecoregion,Casual,1
Ecoregion,Casual,4
Ecoregion,Casual,6
Ecoregion,Casual,4
Ecoregion,Casual,22
Ecoregion,Casual,2
Ecoregion,Casual,4
Ecoregion,Casual,7
Ecoregion,Casual,1
Ecoregion,Casual,3
Ecoregion,Casual,2
Ecoregion,Casual,5
Ecoregion,Casual,2
Ecoregion,Casual,23
Ecoregion,Casual,1
Ecoregion,Casual,3
Ecoregion,Casual,4
Ecoregion,Casual,14
Ecoregion,Casual,2
Ecoregion,Casual,1
Ecoregion,Casual,3
Ecoregion,Casual,2
Ecoregion,Casual,8
Ecoregion,Casual,7
Ecoregion,Casual,23
Ecoregion,Casual,27
Ecoregion,Casual,1
Ecoregion,Casual,22
Ecoregion,Casual,4
Ecoregion,Casual,1
Ecoregion,Casual,1
Ecoregion,Casual,9
Ecoregion,Casual,1
Ecoregion,Casual,1
Ecoregion,Casual,5
Ecoregion,Casual,10
Ecoregion,Casual,1
Ecoregion,Casual,1
Ecoregion,Casual,1
Ecoregion,Casual,2
Ecoregion,Casual,1
Ecoregion,Casual,19
Ecoregion,Casual,18
Ecoregion,Casual,25
Ecoregion,Casual,4
Ecoregion,Casual,7
Ecoregion,Casual,2
Ecoregion,Casual,1
Ecoregion,Casual,1
Ecoregion,Casual,1
Ecoregion,Casual,1
Ecoregion,Casual,9
Ecoregion,Casual,1
Ecoregion,Casual,6
Ecoregion,Casual,2
Ecoregion,Casual,2
Ecoregion,Casual,3
Ecoregion,Casual,1
Ecoregion,Casual,3
Ecoregion,Casual,4
Ecoregion,Casual,1
Ecoregion,Casual,1
Ecoregion,Casual,1
Ecoregion,Casual,11
Ecoregion,Casual,10
Ecoregion,Casual,29
Ecoregion,Casual,10
Ecoregion,Casual,11
Ecoregion,Casual,8
Ecoregion,Casual,1
Ecoregion,Casual,11
Ecoregion,Casual,1
Ecoregion,Casual,1
Ecoregion,Casual,1
Ecoregion,Casual,14
Ecoregion,Casual,13
Ecoregion,Casual,10
Ecoregion,Casual,1
Ecoregion,Casual,1
Ecoregion,Casual,1
Ecoregion,Casual,6
Ecoregion,Casual,1
Ecoregion,Casual,27
Ecoregion,Casual,6
Ecoregion,Casual,3
Ecoregion,Casual,14
Ecoregion,Casual,1
Ecoregion,Casual,1
Ecoregion,Casual,7
Ecoregion,Casual,17
Ecoregion,Casual,3
Ecoregion,Casual,3
Ecoregion,Casual,1
Ecoregion,Casual,3
Ecoregion,Casual,1
Ecoregion,Casual,7
Ecoregion,Casual,2
Ecoregion,Casual,1
Ecoregion,Casual,13
Ecoregion,Casual,1
Ecoregion,Casual,12
Ecoregion,Casual,1
Ecoregion,Casual,9
Ecoregion,Casual,1
Ecoregion,Casual,6
Ecoregion,Casual,6
Ecoregion,Casual,1
Ecoregion,Casual,1
Ecoregion,Casual,1
Ecoregion,Casual,5
Ecoregion,Casual,7
Ecoregion,Casual,1
Ecoregion,Casual,1
Ecoregion,Casual,1
Ecoregion,Casual,1
Ecoregion,Casual,1
Ecoregion,Casual,1
Ecoregion,Casual,7
Ecoregion,Casual,1
Ecoregion,Casual,1
Ecoregion,Casual,6
Ecoregion,Casual,1
Ecoregion,Casual,4
Ecoregion,Casual,1
Ecoregion,Casual,14
Ecoregion,Casual,3
Ecoregion,Casual,1
Ecoregion,Casual,12
Ecoregion,Casual,2
Ecoregion,Casual,1
Ecoregion,Casual,3
Ecoregion,Casual,2
Ecoregion,Casual,3
Ecoregion,Casual,1
Ecoregion,Casual,2
Ecoregion,Casual,3
Ecoregion,Casual,1
Ecoregion,Casual,1
Ecoregion,Casual,2
Ecoregion,Casual,4
Ecoregion,Casual,3
Ecoregion,Casual,1
Ecoregion,Casual,1
Ecoregion,Casual,1
Ecoregion,Casual,8
Ecoregion,Casual,6
Ecoregion,Casual,15
Ecoregion,Casual,1
Ecoregion,Casual,2
Ecoregion,Casual,1
Ecoregion,Casual,3
Ecoregion,Casual,3
Ecoregion,Casual,1
Ecoregion,Casual,24
Ecoregion,Casual,1
Ecoregion,Casual,2
Ecoregion,Casual,1
Ecoregion,Casual,1
Ecoregion,Casual,8
Ecoregion,Casual,1
Ecoregion,Casual,2
Ecoregion,Casual,1
Ecoregion,Casual,1
Ecoregion,Casual,1
Ecoregion,Casual,1
Ecoregion,Casual,2
Ecoregion,Casual,1
Ecoregion,Casual,1
Ecoregion,Casual,4
Ecoregion,Casual,1
Ecoregion,Casual,5
Ecoregion,Casual,4
Ecoregion,Casual,7
Ecoregion,Casual,1
Ecoregion,Casual,2
Ecoregion,Casual,1
Ecoregion,Casual,9
Ecoregion,Casual,1
Ecoregion,Casual,6
Ecoregion,Casual,3
Ecoregion,Casual,2
Ecoregion,Casual,25
Ecoregion,Casual,3
Ecoregion,Casual,1
Ecoregion,Casual,2
Ecoregion,Casual,2
Ecoregion,Casual,1
Ecoregion,Casual,4
Ecoregion,Casual,2
Ecoregion,Casual,1
Ecoregion,Casual,2
Ecoregion,Casual,3
Ecoregion,Casual,1
Ecoregion,Casual,1
Ecoregion,Casual,11
Ecoregion,Casual,1
Ecoregion,Casual,30
Ecoregion,Casual,15
Ecoregion,Casual,2
Ecoregion,Casual,7
Ecoregion,Casual,1
Ecoregion,Casual,1
Ecoregion,Casual,20
Ecoregion,Casual,3
Ecoregion,Casual,1
Ecoregion,Casual,13
Ecoregion,Casual,2
Ecoregion,Casual,2
Ecoregion,Casual,12
Ecoregion,Casual,1
Ecoregion,Casual,3
Ecoregion,Casual,1
Ecoregion,Casual,1
Ecoregion,Casual,4
Ecoregion,Casual,1
Ecoregion,Casual,1
Ecoregion,Casual,17
Ecoregion,Casual,1
Ecoregion,Casual,2
Ecoregion,Casual,6
Ecoregion,Casual,5
Ecoregion,Casual,3
Ecoregion,Casual,4
Ecoregion,Casual,13
Ecoregion,Casual,8
Habitat,Casual,6
Habitat,Casual,14
Habitat,Casual,7
Habitat,Casual,5
Habitat,Casual,5
Habitat,Casual,2
Habitat,Casual,10
Habitat,Casual,5
Habitat,Casual,3
Habitat,Casual,1
Habitat,Casual,3
Habitat,Casual,7
Habitat,Casual,11
Habitat,Casual,4
Habitat,Casual,5
Habitat,Casual,5
Habitat,Casual,3
Habitat,Casual,8
Habitat,Casual,11
Habitat,Casual,12
Habitat,Casual,2
Habitat,Casual,7
Habitat,Casual,9
Habitat,Casual,5
Habitat,Casual,1
Habitat,Casual,2
Habitat,Casual,3
Habitat,Casual,6
Habitat,Casual,6
Habitat,Casual,6
Habitat,Casual,8
Habitat,Casual,7
Habitat,Casual,7
Habitat,Casual,3
Habitat,Casual,7
Habitat,Casual,7
Habitat,Casual,5
Habitat,Casual,16
Habitat,Casual,12
Habitat,Casual,4
Habitat,Casual,7
Habitat,Casual,8
Habitat,Casual,4
Habitat,Casual,7
Habitat,Casual,6
Habitat,Casual,10
Habitat,Casual,5
Habitat,Casual,6
Habitat,Casual,1
Habitat,Casual,8
Habitat,Casual,4
Habitat,Casual,3
Habitat,Casual,8
Habitat,Casual,10
Habitat,Casual,9
Habitat,Casual,6
Habitat,Casual,7
Habitat,Casual,4
Habitat,Casual,4
Habitat,Casual,6
Habitat,Casual,5
Habitat,Casual,4
Habitat,Casual,7
Habitat,Casual,6
Habitat,Casual,7
Habitat,Casual,7
Habitat,Casual,3
Habitat,Casual,6
Habitat,Casual,8
Habitat,Casual,9
Habitat,Casual,6
Habitat,Casual,3
Habitat,Casual,3
Habitat,Casual,3
Habitat,Casual,7
Habitat,Casual,7
Habitat,Casual,1
Habitat,Casual,8
Habitat,Casual,4
Habitat,Casual,10
Habitat,Casual,9
Habitat,Casual,8
Habitat,Casual,5
Habitat,Casual,5
Habitat,Casual,5
Habitat,Casual,4
Habitat,Casual,4
Habitat,Casual,1
Habitat,Casual,7
Habitat,Casual,7
Habitat,Casual,5
Habitat,Casual,8
Habitat,Casual,12
Habitat,Casual,7
Habitat,Casual,5
Habitat,Casual,6
Habitat,Casual,9
Habitat,Casual,8
Habitat,Casual,9
Habitat,Casual,4
Habitat,Casual,12
Habitat,Casual,7
Habitat,Casual,6
Habitat,Casual,4
Habitat,Casual,9
Habitat,Casual,7
